instance,app,pre_processing,solving_time,delay,jitter,cumulative_max_delay,cumulative_max_jitter,cumulative_max_delay_app,cumulative_max_jitter_app
1,App_1,0.04937,0.016052,311.2000000000007,9.094947017729282e-13,311.2000000000007,9.094947017729282e-13,311.2000000000007,9.094947017729282e-13
2,App_2,0.04937,0.163936,311.2,0,311.2000000000007,9.094947017729282e-13,311.2,0
3,App_2,0.04937,0.162038,311.2,0,311.2000000000007,9.094947017729282e-13,311.2,0
4,App_1,0.04937,0.16217,253.60000000000036,9.094947017729282e-13,311.2000000000007,9.094947017729282e-13,311.2000000000007,9.094947017729282e-13
5,App_1,0.04937,0.164949,272.8000000000011,1.8189894035458565e-12,311.2000000000007,1.8189894035458565e-12,311.2000000000007,1.8189894035458565e-12
6,App_2,0.04937,0.162924,311.2,0,311.2000000000007,1.8189894035458565e-12,311.2,0
7,App_2,0.04937,0.159781,311.2,0,311.2000000000007,1.8189894035458565e-12,311.2,0
8,App_2,0.04937,0.161337,311.2,0,311.2000000000007,1.8189894035458565e-12,311.2,0
9,App_2,0.04937,0.154866,272.8,0,311.2000000000007,1.8189894035458565e-12,311.2,0
10,App_2,0.04937,0.166967,253.6,0,311.2000000000007,1.8189894035458565e-12,311.2,0
