instance,app,pre_processing,solving_time,delay,jitter,cumulative_max_delay,cumulative_max_jitter,cumulative_max_delay_app,cumulative_max_jitter_app
1,App_2,0.056837,3.024511,2112.0,0.0,2112.0,0,2112.0,0.0
2,App_2,0.032410999999999995,2.432971,2112.0,0.0,2112.0,0,2112.0,0.0
3,App_1,0.03043,11.970346,1920.0,0.0,2112.0,0,1920.0,0.0
4,App_2,0.031728,2.071679,1920.0,0.0,2112.0,0,2112.0,0.0
5,App_2,0.031786,1.4931969999999999,1920.0,0.0,2112.0,0,2112.0,0.0
6,App_1,0.033027,13.182704,1920.0,0.0,2112.0,0,1920.0,0.0
7,App_1,0.033007999999999996,12.588128,1920.0,0.0,2112.0,0,1920.0,0.0
8,App_1,0.030736,12.396281,1920.0,0.0,2112.0,0,1920.0,0.0
9,App_2,0.033183,2.157177,2112.0,0.0,2112.0,0,2112.0,0.0
10,App_1,0.030646,16.264759,2112.0,0.0,2112.0,0,2112.0,0.0
