instance,app,pre_processing,solving_time,delay,jitter,cumulative_max_delay,cumulative_max_jitter,cumulative_max_delay_app,cumulative_max_jitter_app
1,App_1,4.089815,0.24292,11000.0,0,11000.0,0.0,11000.0,0
2,App_2,4.089815,0.514492,155500.0,0,155500.0,0.0,155500.0,0
3,App_1,4.089815,0.699057,11500.0,0,155500.0,0.0,11500.0,0
4,App_2,4.089815,0.455527,173500.0,0,173500.0,0.0,173500.0,0
5,App_1,4.089815,0.608697,13500.0,0,173500.0,0.0,13500.0,0
6,App_2,4.089815,0.473108,353500.0,0,353500.0,0.0,353500.0,0
7,App_1,4.089815,0.734968,10500.0,0,353500.0,0.0,13500.0,0
8,App_2,4.089815,0.454033,183500.0,0,353500.0,0.0,353500.0,0
9,App_2,4.089815,0.457349,165500.0,0,353500.0,0.0,353500.0,0
10,App_2,4.089815,0.451085,172000.0,0,353500.0,0.0,353500.0,0
11,App_1,4.089815,0.730232,10000.0,0,353500.0,0.0,13500.0,0
12,App_1,4.089815,0.650393,33000.0,0,353500.0,0.0,33000.0,0
13,App_2,4.089815,0.457357,185500.0,0,353500.0,0.0,353500.0,0
14,App_1,4.089815,0.645593,12000.0,0,353500.0,0.0,33000.0,0
15,App_2,4.089815,0.460327,153500.0,0,353500.0,0.0,353500.0,0
16,App_1,4.089815,0.738136,9500.0,0,353500.0,0.0,33000.0,0
17,App_1,4.089815,0.678186,13500.0,0,353500.0,0.0,33000.0,0
18,App_1,4.089815,0.664665,11500.0,0,353500.0,0.0,33000.0,0
19,App_1,4.089815,0.641561,29500.0,0,353500.0,0.0,33000.0,0
20,App_2,4.089815,0.471508,153500.0,0,353500.0,0.0,353500.0,0
21,App_2,4.089815,0.459218,188500.0,0,353500.0,0.0,353500.0,0
22,App_2,4.089815,0.453025,168500.0,0,353500.0,0.0,353500.0,0
23,App_2,4.089815,0.458688,162000.0,0,353500.0,0.0,353500.0,0
24,App_1,4.089815,0.603013,13500.0,0,353500.0,0.0,33000.0,0
25,App_1,4.089815,0.619976,10500.0,0,353500.0,0.0,33000.0,0
26,App_2,4.089815,0.46097,178500.0,0,353500.0,0.0,353500.0,0
27,App_1,4.089815,0.666493,11500.0,0,353500.0,0.0,33000.0,0
28,App_2,4.089815,0.471516,175500.0,0,353500.0,0.0,353500.0,0
29,App_1,4.089815,0.630066,12500.0,0,353500.0,0.0,33000.0,0
30,App_1,4.089815,0.670885,13000.0,0,353500.0,0.0,33000.0,0
31,App_1,4.089815,0.704378,10000.0,0,353500.0,0.0,33000.0,0
32,App_1,4.089815,0.720661,205000.0,3000.0,353500.0,3000.0,205000.0,3000.0
33,App_2,4.089815,0.497535,198000.0,0,353500.0,3000.0,353500.0,0
34,App_1,4.089815,0.792927,10500.0,0,353500.0,3000.0,205000.0,3000.0
35,App_2,4.089815,0.501716,152000.0,0,353500.0,3000.0,353500.0,0
36,App_2,4.089815,0.503719,180500.0,0,353500.0,3000.0,353500.0,0
37,App_1,4.089815,0.741311,12000.0,0,353500.0,3000.0,205000.0,3000.0
38,App_2,4.089815,0.502286,313500.0,0,353500.0,3000.0,353500.0,0
39,App_2,4.089815,0.496005,145500.0,0,353500.0,3000.0,353500.0,0
40,App_2,4.089815,0.48396,160500.0,0,353500.0,3000.0,353500.0,0
41,App_1,4.089815,0.735268,14000.0,0,353500.0,3000.0,205000.0,3000.0
42,App_2,4.089815,0.494725,163500.0,0,353500.0,3000.0,353500.0,0
43,App_2,4.089815,0.463102,148500.0,0,353500.0,3000.0,353500.0,0
44,App_1,4.089815,0.686883,12500.0,0,353500.0,3000.0,205000.0,3000.0
45,App_2,4.089815,0.456997,183500.0,0,353500.0,3000.0,353500.0,0
46,App_1,4.089815,0.665827,174000.0,7000.0,353500.0,7000.0,205000.0,7000.0
47,App_1,4.089815,0.716937,9500.0,0,353500.0,7000.0,205000.0,7000.0
48,App_1,4.089815,0.695176,13000.0,0,353500.0,7000.0,205000.0,7000.0
49,App_2,4.089815,0.472838,143500.0,0,353500.0,7000.0,353500.0,0
50,App_2,4.089815,0.469296,350500.0,0,353500.0,7000.0,353500.0,0
51,App_1,4.089815,0.685953,13000.0,0,353500.0,7000.0,205000.0,7000.0
52,App_2,4.089815,0.484856,473500.0,0,473500.0,7000.0,473500.0,0
53,App_2,4.089815,0.475889,310500.0,0,473500.0,7000.0,473500.0,0
54,App_2,4.089815,0.479337,193500.0,0,473500.0,7000.0,473500.0,0
55,App_1,4.089815,0.665386,13000.0,0,473500.0,7000.0,205000.0,7000.0
56,App_2,4.089815,0.490997,339000.0,0,473500.0,7000.0,473500.0,0
57,App_2,4.089815,0.477757,143500.0,0,473500.0,7000.0,473500.0,0
58,App_1,4.089815,0.673578,13000.0,0,473500.0,7000.0,205000.0,7000.0
59,App_1,4.089815,0.714837,29500.0,0,473500.0,7000.0,205000.0,7000.0
60,App_2,4.089815,0.484077,310500.0,0,473500.0,7000.0,473500.0,0
61,App_2,4.089815,0.475389,147000.0,0,473500.0,7000.0,473500.0,0
62,App_2,4.089815,0.518568,307500.0,0,473500.0,7000.0,473500.0,0
63,App_2,4.089815,0.492754,333500.0,0,473500.0,7000.0,473500.0,0
64,App_2,4.089815,0.490832,193500.0,0,473500.0,7000.0,473500.0,0
65,App_1,4.089815,0.824367,14000.0,0,473500.0,7000.0,205000.0,7000.0
66,App_2,4.089815,0.499349,385000.0,0,473500.0,7000.0,473500.0,0
67,App_2,4.089815,0.500426,350500.0,0,473500.0,7000.0,473500.0,0
68,App_2,4.089815,0.496644,327500.0,0,473500.0,7000.0,473500.0,0
69,App_1,4.089815,0.770005,12500.0,0,473500.0,7000.0,205000.0,7000.0
70,App_2,4.089815,0.496526,182000.0,0,473500.0,7000.0,473500.0,0
71,App_2,4.089815,0.470855,185500.0,0,473500.0,7000.0,473500.0,0
72,App_2,4.089815,0.478922,529000.0,0,529000.0,7000.0,529000.0,0
73,App_1,4.089815,0.716655,13500.0,0,529000.0,7000.0,205000.0,7000.0
74,App_1,4.089815,0.679446,224500.0,3000.0,529000.0,7000.0,224500.0,7000.0
75,App_1,4.089815,0.668712,26000.0,0,529000.0,7000.0,224500.0,7000.0
76,App_1,4.089815,0.746121,11500.0,0,529000.0,7000.0,224500.0,7000.0
77,App_2,4.089815,0.476459,464500.0,0,529000.0,7000.0,529000.0,0
