interface,traffic_troughput,network_troughput,waste_troughput
1,13998.864,13998.864,0.0
2,13998.864,13998.864,0.0
3,13998.864,13998.864,0.0
466,148.584,148.8,0.14516129032258066
548,124.912,125.04,0.10236724248240563
530,124.912,125.112,0.15985676833557133
257,123.272,123.456,0.14904095386210472
364,123.144,123.312,0.1362397820163488
424,121.192,121.44,0.20421607378129117
506,120.64,120.792,0.12583614808927743
56,119.536,119.712,0.14701951349906442
536,117.824,117.936,0.0949667616334283
592,117.544,117.744,0.16986003533088734
298,116.728,116.904,0.15055087935399986
296,115.992,116.208,0.18587360594795538
386,115.88,116.016,0.1172252103158185
431,115.056,115.176,0.10418837257762034
520,113.424,113.544,0.1056859015007398
347,112.344,112.44,0.08537886872998933
143,112.216,112.416,0.1779106177056647
374,111.464,111.624,0.1433383501755895
247,111.328,111.408,0.07180812868016659
190,111.032,111.168,0.12233736327000576
35,110.688,110.904,0.19476303830339753
128,110.296,110.496,0.1810020272227049
509,109.6,109.68,0.07293946024799416
517,108.776,109.032,0.23479345513243818
320,108.136,108.288,0.14036643026004728
568,107.2,107.304,0.09692089763662119
502,106.864,107.088,0.2091737636336471
430,104.936,105.12,0.1750380517503805
460,104.864,104.976,0.10669105319311081
250,104.432,104.568,0.13005890903526893
322,104.432,104.568,0.13005890903526893
115,104.4,104.52,0.1148105625717566
587,104.2,104.328,0.12268997776244153
547,102.552,102.696,0.14021967749474176
134,102.448,102.576,0.12478552487911403
58,102.264,102.504,0.23413720440177943
415,101.536,101.64,0.10232192050373869
314,100.664,100.776,0.11113757243788204
269,100.64,100.8,0.15873015873015872
229,100.552,100.752,0.19850722566301413
413,100.472,100.632,0.15899515064790523
596,100.28,100.464,0.18315018315018314
308,100.248,100.344,0.09567089213106912
518,100.096,100.296,0.19940974714844062
187,100.048,100.224,0.1756066411238825
163,99.928,100.056,0.12792836011833372
313,99.864,100.008,0.14398848092152627
172,99.832,100.008,0.1759859211263099
590,99.584,99.816,0.2324276669071091
365,98.784,98.928,0.14556040756914118
434,98.536,98.664,0.1297332360334063
112,98.488,98.64,0.154095701540957
500,98.072,98.184,0.11407153915098182
362,97.52,97.656,0.13926435651675267
526,96.688,96.792,0.10744689643772212
142,96.56,96.792,0.23968923051491858
379,96.488,96.576,0.09111994698475812
425,96.304,96.408,0.10787486515641856
148,96.048,96.24,0.19950124688279303
211,96.0,96.12,0.12484394506866417
13,95.352,95.568,0.22601707684580613
422,95.216,95.4,0.1928721174004193
352,94.688,94.848,0.16869095816464239
457,94.488,94.68,0.20278833967046894
529,94.472,94.584,0.11841326228537596
343,93.72,93.816,0.10232796111537477
109,93.552,93.696,0.15368852459016394
368,93.168,93.312,0.15432098765432098
575,93.0,93.12,0.12886597938144329
410,92.784,92.952,0.18073844564936742
89,92.384,92.568,0.19877279405410078
523,92.304,92.4,0.1038961038961039
160,92.256,92.472,0.23358422008824292
479,91.824,92.016,0.20865936358894105
4,91.464,91.656,0.2094789211835559
305,91.184,91.296,0.12267788293024887
8,91.152,91.296,0.15772870662460567
559,90.84,90.888,0.052812252442566675
11,90.784,90.912,0.1407954945441746
154,90.696,90.768,0.07932310946589106
167,90.632,90.792,0.1762269803506917
164,90.104,90.264,0.17725782150137376
383,89.648,89.784,0.15147465027176335
284,89.648,89.784,0.15147465027176335
461,89.48,89.616,0.1517586145331191
391,89.352,89.472,0.13412017167381973
292,88.992,89.136,0.16155088852988692
199,88.8,88.968,0.18883193957377933
580,88.328,88.488,0.1808154778049001
259,88.328,88.464,0.15373485259540604
59,87.912,88.032,0.13631406761177753
224,87.776,87.984,0.2364066193853428
353,87.752,87.936,0.20924308588064047
598,87.72,87.864,0.16388964763725758
421,87.464,87.552,0.10051169590643275
130,87.416,87.504,0.10056683123057232
241,87.2,87.312,0.12827560930914422
94,87.2,87.312,0.12827560930914422
443,87.144,87.288,0.16497113005224084
194,86.824,86.976,0.17476085356880058
188,86.472,86.592,0.1385809312638581
404,86.312,86.448,0.15732000740329447
226,86.16,86.28,0.13908205841446453
427,85.888,86.088,0.23232041631818603
22,85.792,85.944,0.1768593502745974
562,85.584,85.656,0.08405715886803027
340,84.872,84.96,0.10357815442561205
325,84.512,84.672,0.1889644746787604
487,84.488,84.624,0.16071090943467575
401,84.384,84.552,0.19869429463525404
319,84.24,84.312,0.08539709649871904
419,83.424,83.592,0.20097616996841802
170,83.36,83.448,0.10545489406576551
34,83.28,83.424,0.17261219792865362
61,82.712,82.8,0.10628019323671498
527,82.28,82.44,0.19408054342552158
32,82.264,82.416,0.18443020772665503
293,82.248,82.296,0.058326042578011085
397,82.128,82.2,0.08759124087591241
433,82.088,82.296,0.2527461845047147
86,81.952,82.08,0.15594541910331383
335,81.8,81.912,0.13673210274440864
524,81.528,81.648,0.14697236919459142
499,81.392,81.528,0.16681385536257481
260,81.376,81.48,0.12763868433971526
31,81.36,81.48,0.14727540500736377
302,81.176,81.336,0.1967148618078096
332,81.144,81.264,0.14766686355581807
290,80.904,81.0,0.11851851851851852
77,80.832,81.0,0.2074074074074074
328,80.704,80.856,0.18798852280597605
242,80.56,80.688,0.15863573269879042
307,80.544,80.688,0.17846519928613921
196,80.464,80.568,0.1290835070995929
553,80.4,80.568,0.20851951146857314
127,80.016,80.184,0.20951810835079318
299,79.872,80.04,0.2098950524737631
563,79.752,79.824,0.09019843656043296
446,78.992,79.128,0.1718734202810636
533,78.712,78.792,0.1015331505736623
166,78.664,78.84,0.22323693556570268
131,78.44,78.6,0.2035623409669211
214,78.296,78.408,0.14284256708499132
193,77.776,77.856,0.10275380189066996
373,77.528,77.688,0.20595201318092884
493,77.472,77.64,0.21638330757341576
67,77.448,77.496,0.06193868070610096
7,77.392,77.568,0.2268976897689769
449,77.328,77.448,0.1549426712116517
200,76.672,76.8,0.16666666666666666
137,76.656,76.776,0.15629884338855893
244,76.624,76.776,0.1979785349588413
311,76.584,76.68,0.12519561815336464
469,76.32,76.392,0.0942507068803016
377,76.16,76.272,0.14684287812041116
565,76.136,76.248,0.1468890987304585
473,75.872,76.032,0.21043771043771045
329,75.664,75.792,0.16888325944690732
508,75.592,75.72,0.16904384574749076
496,75.424,75.6,0.2328042328042328
19,75.264,75.36,0.12738853503184713
382,75.016,75.144,0.17033961460662195
46,74.776,74.928,0.20286141362374546
494,74.56,74.736,0.23549561121815457
436,74.0,74.136,0.18344663861012195
398,73.936,74.088,0.20516142965122558
146,73.904,74.04,0.1836844948676391
149,73.888,74.016,0.17293558149589278
5,73.712,73.896,0.24899859261665042
71,73.56,73.728,0.22786458333333334
197,73.552,73.68,0.1737242128121607
239,73.416,73.464,0.06533812479581835
106,73.304,73.392,0.11990407673860912
557,73.24,73.368,0.17446298113619016
316,73.04,73.152,0.15310586176727908
53,73.032,73.152,0.16404199475065617
289,72.816,72.96,0.19736842105263158
121,72.76,72.912,0.20847048496818082
491,72.752,72.888,0.18658764131269895
349,72.72,72.816,0.13183915622940012
232,72.48,72.624,0.1982815598149372
403,72.352,72.456,0.1435353869934857
263,72.272,72.408,0.18782454977350568
589,71.768,71.88,0.15581524763494714
554,71.664,71.736,0.10036801605888257
14,71.544,71.712,0.23427041499330656
448,71.448,71.544,0.13418316001341832
191,71.208,71.304,0.13463480309660047
458,71.104,71.208,0.14605100550499944
359,71.096,71.232,0.19092542677448338
406,70.864,70.968,0.14654492165483035
407,70.192,70.32,0.1820250284414107
283,69.96,70.104,0.20540910647038685
184,69.92,70.032,0.15992689056431345
85,69.808,69.912,0.1487584391806843
125,69.52,69.648,0.1837813002526993
439,68.96,69.096,0.19682760217668172
236,68.952,69.048,0.13903371567605144
266,68.76,68.928,0.24373259052924792
235,68.464,68.568,0.15167425037918564
25,68.256,68.352,0.1404494382022472
155,68.168,68.28,0.16403046280023434
488,68.088,68.232,0.21104467112205416
203,68.016,68.088,0.10574550581600282
334,67.976,68.064,0.12929007992477667
476,67.976,68.088,0.1644930090471155
221,67.696,67.8,0.15339233038348082
17,67.4,67.536,0.2013740819710969
578,67.36,67.464,0.15415629076248072
301,67.272,67.416,0.21359914560341758
595,67.136,67.272,0.20216434772267808
532,67.048,67.152,0.15487252799618775
122,66.376,66.48,0.15643802647412755
92,66.352,66.528,0.26455026455026454
227,66.136,66.288,0.2293024378469708
212,66.064,66.24,0.26570048309178745
238,66.048,66.192,0.21754894851341552
503,65.928,66.048,0.1816860465116279
100,65.792,65.88,0.13357619914996965
545,65.776,65.88,0.15786278081360047
91,65.728,65.784,0.08512708257327009
272,65.288,65.4,0.1712538226299694
151,65.224,65.352,0.19586240665932184
107,64.896,64.992,0.14771048744460857
535,64.848,64.944,0.14781966001478197
256,64.568,64.608,0.06191183754333829
490,64.44,64.56,0.18587360594795538
209,64.136,64.224,0.13702042850024912
442,64.128,64.248,0.1867762420620097
455,64.056,64.152,0.14964459408903855
169,63.96,64.104,0.22463496817671283
37,63.776,63.864,0.13779280972065638
178,63.584,63.696,0.17583521728208992
176,63.432,63.528,0.1511144692104269
280,63.368,63.432,0.10089544709294992
584,62.776,62.952,0.27957809124412253
310,62.536,62.688,0.24247064828994386
268,62.168,62.28,0.1798330122029544
103,62.024,62.112,0.1416795466254508
514,61.928,62.016,0.14189886480908154
62,61.904,61.992,0.14195380049038586
73,61.848,61.92,0.11627906976744186
157,61.472,61.584,0.18186541958950378
70,61.368,61.512,0.23410066328521265
394,61.176,61.32,0.23483365949119372
202,60.952,61.032,0.13107877834578582
521,60.872,60.936,0.10502822633582776
152,60.544,60.6,0.0924092409240924
233,60.312,60.456,0.23818975784041285
409,60.256,60.36,0.17229953611663354
185,60.184,60.24,0.09296148738379814
136,60.08,60.144,0.10641127959563713
97,59.544,59.64,0.16096579476861167
29,59.376,59.472,0.16142050040355124
593,59.296,59.448,0.25568564123267395
560,58.96,59.16,0.3380662609871535
556,58.888,58.992,0.1762950908597776
412,58.64,58.776,0.23138696066421668
50,58.608,58.728,0.2043318348998774
113,58.6,58.68,0.136332651670075
44,58.592,58.68,0.1499659168370825
101,58.472,58.56,0.15027322404371585
550,58.464,58.536,0.12300123001230012
49,58.208,58.368,0.2741228070175439
26,58.168,58.224,0.09618026930475405
577,58.152,58.248,0.16481252575195715
208,58.04,58.176,0.23377337733773376
41,58.032,58.176,0.24752475247524752
80,57.832,57.936,0.1795084230875449
