instance,app,pre_processing,solving_time,delay,jitter,cumulative_max_delay,cumulative_max_jitter,cumulative_max_delay_app,cumulative_max_jitter_app
1,App_1,0.249019,0.098274,105916.0,0,105916.0,0.0,105916.0,0
2,App_2,0.249019,0.181392,4000.0,0,105916.0,0.0,4000.0,0
3,App_1,0.249019,0.22118,4000.0,0,105916.0,0.0,105916.0,0
4,App_2,0.249019,0.183788,349227.2,0,349227.2,0.0,349227.2,0
5,App_1,0.249019,0.28414,4000.0,0,349227.2,0.0,105916.0,0
6,App_1,0.249019,0.436964,306914.4000000004,0.8000000003958121,349227.2,0.8000000003958121,306914.4000000004,0.8000000003958121
7,App_1,0.249019,0.256997,4000.0,0,349227.2,0.8000000003958121,306914.4000000004,0.8000000003958121
8,App_1,0.249019,0.477692,206416.80000000075,0.8000000007450581,349227.2,0.8000000007450581,306914.4000000004,0.8000000007450581
9,App_1,0.249019,0.370271,306416.80000000075,0.8000000007450581,349227.2,0.8000000007450581,306914.4000000004,0.8000000007450581
10,App_2,0.249019,0.162551,4000.0,0,349227.2,0.8000000007450581,349227.2,0
11,App_1,0.249019,0.18541,4000.0,0,349227.2,0.8000000007450581,306914.4000000004,0.8000000007450581
12,App_2,0.249019,0.160653,4000.0,0,349227.2,0.8000000007450581,349227.2,0
13,App_1,0.249019,0.262751,205920.0,0.7999999999883585,349227.2,0.8000000007450581,306914.4000000004,0.8000000007450581
14,App_1,0.249019,0.243214,104424.80000000075,9.313225746154785e-10,349227.2,0.8000000007450581,306914.4000000004,0.8000000007450581
15,App_2,0.249019,0.170775,277090.4,0,349227.2,0.8000000007450581,349227.2,0
16,App_1,0.249019,0.188547,166000.0,2000.0,349227.2,2000.0,306914.4000000004,2000.0
17,App_1,0.249019,0.238295,4000.0,0,349227.2,2000.0,306914.4000000004,2000.0
18,App_2,0.249019,0.178503,259178.40000000002,0,349227.2,2000.0,349227.2,0
19,App_2,0.249019,0.189924,352211.2,0,352211.2,2000.0,352211.2,0
20,App_2,0.249019,0.172798,4000.0,0,352211.2,2000.0,352211.2,0
21,App_1,0.249019,0.29853,103927.20000000112,1.1204974725842476e-09,352211.2,2000.0,306914.4000000004,2000.0
22,App_1,0.249019,0.357745,203430.40000000037,0.8000000003667083,352211.2,2000.0,306914.4000000004,2000.0
23,App_1,0.249019,0.324712,207411.20000000112,1.1641532182693481e-09,352211.2,2000.0,306914.4000000004,2000.0
24,App_1,0.249019,0.304468,120929.60000000056,9.313225746154785e-10,352211.2,2000.0,306914.4000000004,2000.0
25,App_1,0.249019,0.308469,223923.20000000112,1.1641532182693481e-09,352211.2,2000.0,306914.4000000004,2000.0
26,App_2,0.249019,0.191139,245742.4,0,352211.2,2000.0,352211.2,0
27,App_1,0.249019,0.283689,206943.20000000112,1.1641532182693481e-09,352211.2,2000.0,306914.4000000004,2000.0
28,App_1,0.249019,0.427583,303431.2000000011,0.8000000012107193,352211.2,2000.0,306914.4000000004,2000.0
29,App_1,0.249019,0.286682,103952.80000000075,9.313225746154785e-10,352211.2,2000.0,306914.4000000004,2000.0
30,App_1,0.249019,0.322263,307908.80000000075,0.8000000007450581,352211.2,2000.0,307908.80000000075,2000.0
31,App_1,0.249019,0.35055,307413.6000000001,0.8000000002793968,352211.2,2000.0,307908.80000000075,2000.0
32,App_1,0.249019,0.314401,207473.60000000056,9.313225746154785e-10,352211.2,2000.0,307908.80000000075,2000.0
33,App_1,0.249019,0.332645,303456.0,0.8000000000465661,352211.2,2000.0,307908.80000000075,2000.0
34,App_1,0.249019,0.361754,203928.80000000075,0.8000000007450581,352211.2,2000.0,307908.80000000075,2000.0
35,App_2,0.249019,0.186364,450720.0,0,450720.0,2000.0,450720.0,0
36,App_2,0.249019,0.181142,376171.2,0,450720.0,2000.0,450720.0,0
37,App_1,0.249019,0.242645,124908.80000000075,9.313225746154785e-10,450720.0,2000.0,307908.80000000075,2000.0
38,App_1,0.249019,0.26622,269906.4,2000.0000000001164,450720.0,2000.0000000001164,307908.80000000075,2000.0000000001164
39,App_2,0.249019,0.180526,245996.0,0,450720.0,2000.0000000001164,450720.0,0
40,App_1,0.249019,0.255172,107938.40000000037,3.7834979593753815e-10,450720.0,2000.0000000001164,307908.80000000075,2000.0000000001164
41,App_2,0.249019,0.155476,4000.0,0,450720.0,2000.0000000001164,450720.0,0
42,App_2,0.249019,0.164066,4000.0,0,450720.0,2000.0000000001164,450720.0,0
43,App_2,0.249019,0.171771,4000.0,0,450720.0,2000.0000000001164,450720.0,0
44,App_2,0.249019,0.17152,4000.0,0,450720.0,2000.0000000001164,450720.0,0
45,App_1,0.249019,0.352611,306446.4000000004,0.8000000003958121,450720.0,2000.0000000001164,307908.80000000075,2000.0000000001164
46,App_1,0.249019,0.333394,470912.0,7500.0,470912.0,7500.0,470912.0,7500.0
47,App_2,0.249019,0.165448,274106.4,0,470912.0,7500.0,450720.0,0
48,App_2,0.249019,0.208897,494108.0,0,494108.0,7500.0,494108.0,0
49,App_1,0.249019,0.258803,104920.80000000075,9.313225746154785e-10,494108.0,7500.0,470912.0,7500.0
50,App_2,0.249019,0.162308,281646.4,0,494108.0,7500.0,494108.0,0
51,App_2,0.249019,0.150638,4000.0,0,494108.0,7500.0,494108.0,0
52,App_2,0.249019,0.180699,460672.0,0,494108.0,7500.0,494108.0,0
53,App_2,0.249019,0.186252,387043.2,0,494108.0,7500.0,494108.0,0
54,App_2,0.249019,0.156665,4000.0,0,494108.0,7500.0,494108.0,0
55,App_1,0.249019,0.302728,204924.0,0.7999999999883585,494108.0,7500.0,470912.0,7500.0
56,App_2,0.249019,0.166351,4000.0,0,494108.0,7500.0,494108.0,0
57,App_1,0.249019,0.254423,103503.20000000112,1.1204974725842476e-09,494108.0,7500.0,470912.0,7500.0
58,App_1,0.249019,0.303797,307940.80000000075,0.8000000007450581,494108.0,7500.0,470912.0,7500.0
59,App_1,0.249019,0.204986,180000.0,2500.0,494108.0,7500.0,470912.0,7500.0
60,App_2,0.249019,0.151697,4000.0,0,494108.0,7500.0,494108.0,0
61,App_1,0.249019,0.258232,205948.80000000005,0.8000000000465661,494108.0,7500.0,470912.0,7500.0
62,App_2,0.249019,0.178489,179000.0,0,494108.0,7500.0,494108.0,0
63,App_1,0.249019,0.31119,325917.6000000001,0.8000000002793968,494108.0,7500.0,470912.0,7500.0
64,App_2,0.249019,0.176557,444252.0,0,494108.0,7500.0,494108.0,0
65,App_1,0.249019,0.287064,207504.80000000075,7.566995918750763e-10,494108.0,7500.0,470912.0,7500.0
66,App_1,0.249019,0.294008,207536.0,0,494108.0,7500.0,470912.0,7500.0
67,App_1,0.249019,0.295824,206973.60000000056,9.313225746154785e-10,494108.0,7500.0,470912.0,7500.0
68,App_1,0.249019,0.260318,106060.0,0,494108.0,7500.0,470912.0,7500.0
69,App_2,0.249019,0.179942,387363.2,0,494108.0,7500.0,494108.0,0
70,App_1,0.249019,0.191817,4000.0,0,494108.0,7500.0,470912.0,7500.0
71,App_1,0.249019,0.237332,107003.20000000112,1.1204974725842476e-09,494108.0,7500.0,470912.0,7500.0
72,App_1,0.249019,0.193372,4000.0,0,494108.0,7500.0,470912.0,7500.0
73,App_2,0.249019,0.205231,470943.2,0,494108.0,7500.0,494108.0,0
74,App_1,0.249019,0.373675,507908.80000000075,500.80000000074506,507908.80000000075,7500.0,507908.80000000075,7500.0
75,App_2,0.249019,0.201814,657188.0,0,657188.0,7500.0,657188.0,0
76,App_1,0.249019,0.323005,374916.0,2000.0,657188.0,7500.0,507908.80000000075,7500.0
77,App_1,0.249019,0.380147,303928.80000000075,0.8000000007450581,657188.0,7500.0,507908.80000000075,7500.0
78,App_1,0.249019,0.361201,325422.4000000004,1.6000000005587935,657188.0,7500.0,507908.80000000075,7500.0
79,App_1,0.249019,0.344815,306476.0,0.8000000000465661,657188.0,7500.0,507908.80000000075,7500.0
80,App_2,0.249019,0.198658,342259.2,0,657188.0,7500.0,657188.0,0
81,App_2,0.249019,0.217778,384059.2,0,657188.0,7500.0,657188.0,0
82,App_1,0.249019,0.26191,107033.60000000056,9.313225746154785e-10,657188.0,7500.0,507908.80000000075,7500.0
83,App_1,0.249019,0.282526,107064.0,0,657188.0,7500.0,507908.80000000075,7500.0
84,App_1,0.249019,0.260982,104975.20000000112,1.1204974725842476e-09,657188.0,7500.0,507908.80000000075,7500.0
85,App_1,0.249019,0.251122,107094.40000000037,3.7834979593753815e-10,657188.0,7500.0,507908.80000000075,7500.0
86,App_2,0.249019,0.176904,455696.0,0,657188.0,7500.0,657188.0,0
87,App_1,0.249019,0.378538,303480.80000000075,0.8000000007450581,657188.0,7500.0,507908.80000000075,7500.0
88,App_1,0.249019,0.296393,306944.80000000075,0.8000000007450581,657188.0,7500.0,507908.80000000075,7500.0
89,App_2,0.249019,0.186853,4000.0,0,657188.0,7500.0,657188.0,0
90,App_2,0.249019,0.17963,329000.0,0,657188.0,7500.0,657188.0,0
91,App_2,0.249019,0.204112,652576.0,0,657188.0,7500.0,657188.0,0
92,App_1,0.249019,0.167742,20500.0,0,657188.0,7500.0,507908.80000000075,7500.0
93,App_1,0.249019,0.303985,105419.20000000112,1.1204974725842476e-09,657188.0,7500.0,507908.80000000075,7500.0
94,App_1,0.249019,0.349081,122425.60000000056,9.313225746154785e-10,657188.0,7500.0,507908.80000000075,7500.0
95,App_1,0.249019,0.220247,23500.0,0,657188.0,7500.0,507908.80000000075,7500.0
96,App_1,0.249019,0.25972,293428.0,4000.0,657188.0,7500.0,507908.80000000075,7500.0
97,App_1,0.249019,0.328263,223428.80000000075,7.566995918750763e-10,657188.0,7500.0,507908.80000000075,7500.0
98,App_2,0.249019,0.18108,4000.0,0,657188.0,7500.0,657188.0,0
99,App_2,0.249019,0.183734,255964.0,0,657188.0,7500.0,657188.0,0
100,App_1,0.249019,0.361117,207567.20000000112,1.1641532182693481e-09,657188.0,7500.0,507908.80000000075,7500.0
101,App_2,0.249019,0.198216,509608.0,0,657188.0,7500.0,657188.0,0
102,App_2,0.249019,0.204092,450981.60000000003,0,657188.0,7500.0,657188.0,0
103,App_2,0.249019,0.184251,404234.4,0,657188.0,7500.0,657188.0,0
104,App_1,0.249019,0.400021,305919.2000000011,0.8000000012107193,657188.0,7500.0,507908.80000000075,7500.0
105,App_2,0.249019,0.198809,380575.2,0,657188.0,7500.0,657188.0,0
106,App_2,0.249019,0.179006,274944.80000000005,0,657188.0,7500.0,657188.0,0
107,App_2,0.249019,0.152579,19500.0,0,657188.0,7500.0,657188.0,0
108,App_1,0.249019,0.360146,305422.4000000004,1.6000000005587935,657188.0,7500.0,507908.80000000075,7500.0
