interface,traffic_troughput,network_troughput,waste_troughput
1,13809.944,13809.944,0.0
2,13809.944,13809.944,0.0
3,13809.944,13809.944,0.0
405,177.296,177.552,0.14418311255294225
153,133.112,133.112,0.0
85,129.504,129.504,0.0
168,125.744,125.976,0.1841620626151013
523,123.672,123.84,0.13565891472868216
129,122.856,122.856,0.0
72,120.368,120.528,0.132749236691889
238,117.512,117.72,0.17669045191980973
586,116.464,116.568,0.08921831034246105
118,115.48,115.656,0.15217541675312998
64,114.312,114.48,0.14675052410901468
33,113.088,113.088,0.0
571,112.456,112.632,0.15626109808935293
450,112.024,112.152,0.11413082245523931
274,109.6,109.752,0.13849405933377068
369,109.264,109.264,0.0
159,109.096,109.096,0.0
543,105.656,105.84,0.17384731670445955
241,105.488,105.488,0.0
316,104.696,104.856,0.15259021896696423
108,104.488,104.616,0.12235222145752084
306,104.152,104.304,0.14572787237306337
483,103.088,103.248,0.1549666821633349
258,102.376,102.528,0.1482521847690387
202,102.336,102.456,0.11712344811431248
336,101.68,101.76,0.07861635220125786
139,100.76,100.76,0.0
330,100.136,100.272,0.1356310834530078
351,99.488,99.488,0.0
421,99.072,99.216,0.14513788098693758
84,98.92,99.048,0.1292302721912608
375,98.752,98.752,0.0
132,98.464,98.616,0.1541332035369514
162,96.808,96.912,0.10731385174178636
385,96.72,96.72,0.0
550,96.496,96.6,0.10766045548654245
81,96.456,96.456,0.0
282,96.192,96.336,0.14947683109118087
334,96.152,96.312,0.16612675471384666
172,95.704,95.88,0.1835627868168544
567,94.624,94.8,0.18565400843881857
42,94.504,94.632,0.1352607997294784
531,93.592,93.72,0.1365770379854887
58,93.44,93.6,0.17094017094017094
36,93.352,93.456,0.11128231467214518
289,93.192,93.192,0.0
142,93.128,93.264,0.14582261108251846
270,92.976,93.096,0.12889920082495487
217,92.824,92.824,0.0
472,92.712,92.832,0.12926577042399173
493,92.432,92.568,0.14691902169216145
190,92.392,92.544,0.16424619640387275
337,92.304,92.304,0.0
67,92.216,92.216,0.0
432,92.048,92.184,0.14753102490670833
111,92.016,92.016,0.0
588,91.856,92.04,0.19991308126901347
420,91.384,91.536,0.1660548855095263
225,91.176,91.176,0.0
333,91.144,91.144,0.0
228,90.704,90.864,0.17608733932030288
468,90.36,90.528,0.1855779427359491
382,90.072,90.264,0.2127093858016485
30,90.048,90.12,0.07989347536617843
466,90.008,90.168,0.17744654422855116
54,89.928,90.0,0.08
403,89.808,89.808,0.0
115,89.768,89.768,0.0
495,89.744,89.88,0.15131286159323543
552,89.584,89.784,0.22275683863494608
486,89.496,89.592,0.10715242432360032
82,89.224,89.424,0.22365360529611739
211,89.12,89.12,0.0
547,88.776,88.92,0.16194331983805668
544,88.736,88.848,0.12605798667386997
51,88.352,88.352,0.0
390,88.232,88.344,0.12677714389205832
475,88.032,88.128,0.10893246187363835
232,87.968,88.104,0.1543630255153001
123,87.792,87.792,0.0
136,87.776,87.864,0.10015478466721296
4,87.088,87.288,0.2291265695170012
447,87.064,87.168,0.11930983847283406
78,86.976,87.048,0.0827129859387924
561,86.408,86.544,0.15714549824366797
201,86.208,86.208,0.0
357,86.12,86.12,0.0
301,85.856,85.856,0.0
208,85.728,85.896,0.19558535903883767
300,85.488,85.608,0.14017381553125877
313,84.456,84.456,0.0
367,84.36,84.36,0.0
411,84.12,84.24,0.14245014245014245
519,84.032,84.144,0.13310515307092602
414,83.736,83.904,0.20022883295194507
55,83.736,83.736,0.0
499,83.696,83.832,0.1622292203454528
469,83.672,83.784,0.13367707438174353
250,83.656,83.832,0.2099436969176448
219,83.584,83.584,0.0
175,83.512,83.512,0.0
340,83.488,83.616,0.15308075009567546
46,83.136,83.28,0.1729106628242075
39,83.136,83.136,0.0
261,82.8,82.8,0.0
559,82.392,82.56,0.20348837209302326
439,82.192,82.296,0.12637309225235735
192,82.008,82.128,0.14611338398597312
463,81.936,82.08,0.17543859649122806
207,81.72,81.72,0.0
43,81.648,81.648,0.0
21,81.616,81.616,0.0
558,81.544,81.672,0.15672445881085317
286,81.44,81.6,0.19607843137254902
328,81.408,81.576,0.20594292438952633
423,81.384,81.48,0.11782032400589101
262,80.968,81.096,0.1578376245437506
88,80.96,81.096,0.16770247607773503
90,80.768,80.904,0.16810046474834373
169,80.752,80.752,0.0
535,80.44,80.544,0.12912197059992053
325,80.296,80.296,0.0
360,80.28,80.4,0.14925373134328357
376,80.144,80.328,0.22906085051289712
156,80.048,80.184,0.1696098972363564
52,79.6,79.728,0.16054585591009432
70,79.592,79.728,0.1705799719044752
181,79.584,79.584,0.0
454,79.536,79.728,0.2408187838651415
384,79.208,79.296,0.11097659402744149
538,79.112,79.2,0.1111111111111111
214,79.048,79.2,0.1919191919191919
412,78.552,78.672,0.1525320317266626
97,78.272,78.272,0.0
37,77.888,77.888,0.0
391,77.52,77.52,0.0
102,77.376,77.52,0.18575851393188855
597,77.28,77.376,0.12406947890818859
9,77.04,77.04,0.0
400,76.856,76.944,0.11436889166146808
387,76.832,76.832,0.0
252,76.824,76.968,0.18709073900841908
141,76.784,76.784,0.0
163,76.392,76.392,0.0
127,76.328,76.328,0.0
240,76.288,76.44,0.1988487702773417
471,76.032,76.152,0.1575795776867318
490,76.024,76.224,0.26238455079764905
66,75.928,76.008,0.1052520787285549
585,75.92,76.032,0.1473063973063973
57,75.832,75.832,0.0
292,75.712,75.792,0.10555203715431707
87,75.624,75.624,0.0
178,75.608,75.696,0.11625449165081378
223,75.464,75.464,0.0
61,75.28,75.28,0.0
379,75.2,75.2,0.0
280,74.552,74.664,0.15000535733419051
510,74.552,74.688,0.18209083119108826
213,74.112,74.112,0.0
105,74.112,74.112,0.0
147,73.72,73.72,0.0
189,73.696,73.696,0.0
331,73.632,73.632,0.0
537,73.616,73.728,0.1519097222222222
322,73.192,73.32,0.1745771958537916
19,73.168,73.168,0.0
25,72.864,72.864,0.0
298,72.8,72.912,0.15360983102918588
154,72.616,72.768,0.2088830255057168
91,72.544,72.544,0.0
553,72.464,72.576,0.15432098765432098
276,72.424,72.48,0.0772626931567329
271,72.408,72.408,0.0
73,72.352,72.352,0.0
574,72.224,72.336,0.15483300154833002
445,72.184,72.312,0.1770107312755836
556,72.168,72.264,0.1328462304882099
339,72.104,72.104,0.0
508,72.048,72.192,0.19946808510638298
529,72.04,72.216,0.24371330453085188
426,72.016,72.144,0.17742293191394987
