instance,app,pre_processing,solving_time,delay,jitter,cumulative_max_delay,cumulative_max_jitter,cumulative_max_delay_app,cumulative_max_jitter_app
1,App_2,0.572662,0.028115,482125.0,0,482125.0,0.0,482125.0,0
2,App_1,0.572662,0.566106,307973.0,0,482125.0,0.0,307973.0,0
3,App_1,0.572662,0.540367,307957.0,0,482125.0,0.0,307973.0,0
4,App_2,0.572662,0.692886,437333.0,0,482125.0,0.0,482125.0,0
5,App_2,0.572662,0.545971,467189.0,0,482125.0,0.0,482125.0,0
6,App_2,0.572662,0.380275,477141.0,0,482125.0,0.0,482125.0,0
7,App_1,0.572662,0.491656,308053.0,0,482125.0,0.0,308053.0,0
8,App_2,0.572662,0.38136,442309.0,0,482125.0,0.0,482125.0,0
9,App_1,0.572662,0.549016,307973.0,0,482125.0,0.0,308053.0,0
10,App_1,0.572662,0.535897,307973.0,0,482125.0,0.0,308053.0,0
11,App_2,0.572662,0.396082,457245.0,0,482125.0,0.0,482125.0,0
12,App_2,0.572662,0.422304,447293.0,0,482125.0,0.0,482125.0,0
13,App_2,0.572662,0.405296,472181.0,0,482125.0,0.0,482125.0,0
14,App_1,0.572662,0.504524,308053.0,0,482125.0,0.0,308053.0,0
15,App_1,0.572662,0.650543,307965.0,0,482125.0,0.0,308053.0,0
16,App_1,0.572662,0.601904,307965.0,0,482125.0,0.0,308053.0,0
17,App_1,0.572662,0.508684,307965.0,0,482125.0,0.0,308053.0,0
18,App_1,0.572662,0.53298,307957.0,0,482125.0,0.0,308053.0,0
19,App_2,0.572662,0.410879,452261.0,0,482125.0,0.0,482125.0,0
20,App_1,0.572662,0.458547,307965.0,0,482125.0,0.0,308053.0,0
21,App_2,0.572662,0.400751,482117.0,0,482125.0,0.0,482125.0,0
22,App_2,0.572662,0.405551,487101.0,0,487101.0,0.0,487101.0,0
23,App_2,0.572662,0.40662,438053.0,0,487101.0,0.0,487101.0,0
24,App_2,0.572662,0.430035,437333.0,0,487101.0,0.0,487101.0,0
25,App_2,0.572662,0.455427,467205.0,0,487101.0,0.0,487101.0,0
26,App_2,0.572662,0.488505,487101.0,0,487101.0,0.0,487101.0,0
27,App_2,0.572662,0.410382,457245.0,0,487101.0,0.0,487101.0,0
28,App_1,0.572662,0.461472,307957.0,0,487101.0,0.0,308053.0,0
29,App_2,0.572662,0.406819,457253.0,0,487101.0,0.0,487101.0,0
30,App_2,0.572662,0.387073,447285.0,0,487101.0,0.0,487101.0,0
31,App_2,0.572662,0.373523,637181.0,0,637181.0,0.0,637181.0,0
32,App_2,0.572662,0.368439,472165.0,0,637181.0,0.0,637181.0,0
33,App_2,0.572662,0.398115,442317.0,0,637181.0,0.0,637181.0,0
34,App_2,0.572662,0.378581,487109.0,0,637181.0,0.0,637181.0,0
35,App_2,0.572662,0.373542,457245.0,0,637181.0,0.0,637181.0,0
36,App_2,0.572662,0.367039,462221.0,0,637181.0,0.0,637181.0,0
37,App_2,0.572662,0.369092,632125.0,0,637181.0,0.0,637181.0,0
38,App_2,0.572662,0.383115,472173.0,0,637181.0,0.0,637181.0,0
39,App_1,0.572662,0.479468,307965.0,0,637181.0,0.0,308053.0,0
40,App_1,0.572662,0.498142,307973.0,0,637181.0,0.0,308053.0,0
41,App_1,0.572662,0.533776,307973.0,0,637181.0,0.0,308053.0,0
42,App_2,0.572662,0.38501,437333.0,0,637181.0,0.0,637181.0,0
43,App_1,0.572662,0.435019,307957.0,0,637181.0,0.0,308053.0,0
44,App_1,0.572662,0.59503,467965.0,0,637181.0,0.0,467965.0,0
45,App_2,0.572662,0.40225,472165.0,0,637181.0,0.0,637181.0,0
46,App_1,0.572662,0.477838,307957.0,0,637181.0,0.0,467965.0,0
47,App_2,0.572662,0.383623,472173.0,0,637181.0,0.0,637181.0,0
48,App_2,0.572662,0.368657,462213.0,0,637181.0,0.0,637181.0,0
49,App_2,0.572662,0.386008,487093.0,0,637181.0,0.0,637181.0,0
50,App_2,0.572662,0.398007,477157.0,0,637181.0,0.0,637181.0,0
51,App_1,0.572662,0.50603,492973.0,5000.0,637181.0,5000.0,492973.0,5000.0
52,App_2,0.572662,0.460856,467197.0,0,637181.0,5000.0,637181.0,0
53,App_2,0.572662,0.38626,467197.0,0,637181.0,5000.0,637181.0,0
54,App_1,0.572662,0.483299,308053.0,0,637181.0,5000.0,492973.0,5000.0
55,App_1,0.572662,0.526108,327965.0,0,637181.0,5000.0,492973.0,5000.0
56,App_2,0.572662,0.407561,442309.0,0,637181.0,5000.0,637181.0,0
