interface,traffic_troughput,network_troughput,waste_troughput
1,13814.264,13865.44,0.3690903426072306
2,13814.264,13865.44,0.3690903426072306
3,13814.264,13865.44,0.3690903426072306
94,143.448,146.16,1.8555008210180624
144,133.968,134.16,0.14311270125223613
373,131.616,133.44,1.3669064748201438
51,129.88,129.92,0.03078817733990148
466,129.336,132.0,2.018181818181818
232,128.0,129.6,1.2345679012345678
603,126.544,126.96,0.3276622558286074
582,125.4,125.6,0.1592356687898089
292,123.712,126.24,2.002534854245881
579,123.608,123.92,0.25177533892834086
481,120.4,121.92,1.246719160104987
207,119.04,119.36,0.2680965147453083
288,118.688,118.96,0.22864828513786148
519,117.736,118.08,0.29132791327913277
310,116.168,117.6,1.217687074829932
520,115.728,117.36,1.3905930470347647
189,114.792,114.96,0.14613778705636743
19,113.576,114.72,0.99721059972106
211,112.12,112.8,0.6028368794326241
133,111.184,112.8,1.4326241134751774
540,109.76,110.0,0.21818181818181817
63,108.992,109.28,0.2635431918008785
351,108.192,108.24,0.04434589800443459
336,107.312,107.68,0.34175334323922735
156,107.12,107.36,0.22354694485842028
153,107.056,107.36,0.28315946348733234
184,107.0,108.96,1.7988252569750367
583,105.952,107.52,1.4583333333333333
30,105.176,105.28,0.09878419452887538
157,104.664,106.56,1.7792792792792793
550,104.552,106.56,1.8843843843843844
309,104.448,104.64,0.1834862385321101
145,104.296,105.6,1.2348484848484849
136,104.2,105.6,1.3257575757575757
135,104.008,104.32,0.299079754601227
12,103.192,103.6,0.3938223938223938
303,102.648,102.96,0.30303030303030304
324,102.584,103.04,0.44254658385093165
469,102.312,104.88,2.448512585812357
79,101.208,102.72,1.47196261682243
436,100.128,102.0,1.8352941176470587
93,99.392,99.6,0.20883534136546184
334,99.104,100.8,1.6825396825396826
349,98.896,100.8,1.8888888888888888
438,98.056,98.4,0.34959349593495936
255,97.936,98.16,0.22819885900570497
120,97.064,97.2,0.13991769547325103
375,96.544,96.72,0.18196856906534326
114,96.024,96.24,0.22443890274314215
409,94.776,96.0,1.275
378,94.624,94.8,0.18565400843881857
477,93.976,94.32,0.364715860899067
423,92.728,93.04,0.3353396388650043
139,92.296,93.6,1.393162393162393
312,92.088,92.32,0.2512998266897747
220,92.016,93.36,1.4395886889460154
268,92.008,93.84,1.9522591645353793
112,91.984,94.08,2.227891156462585
300,91.952,92.16,0.22569444444444445
487,91.616,92.88,1.3608957795004306
115,90.768,92.16,1.5104166666666667
73,90.496,92.64,2.31433506044905
102,90.472,90.64,0.1853486319505737
319,90.336,92.16,1.9791666666666667
498,90.32,90.56,0.26501766784452296
400,89.88,91.44,1.7060367454068242
109,89.792,91.44,1.8022747156605425
108,89.312,89.68,0.4103479036574487
190,89.104,90.72,1.781305114638448
87,89.072,89.2,0.14349775784753363
229,88.872,90.48,1.7771883289124668
250,88.792,89.76,1.0784313725490196
480,88.136,88.24,0.11786038077969176
175,87.96,89.52,1.742627345844504
58,87.96,89.76,2.0053475935828877
43,87.936,90.24,2.5531914893617023
363,87.464,87.84,0.42805100182149364
72,87.456,87.76,0.3463992707383774
541,86.976,88.8,2.054054054054054
171,86.912,87.2,0.3302752293577982
415,86.288,87.84,1.7668488160291438
376,86.168,87.36,1.3644688644688645
210,86.144,86.32,0.20389249304911955
33,85.912,86.08,0.19516728624535315
495,85.496,85.92,0.4934823091247672
129,85.384,85.6,0.2523364485981308
435,85.312,85.6,0.3364485981308411
493,85.312,87.12,2.0752984389348024
150,84.792,85.04,0.2916274694261524
426,84.496,84.72,0.26440037771482533
355,84.248,86.4,2.490740740740741
75,84.224,84.64,0.4914933837429111
496,83.848,85.2,1.5868544600938967
15,83.816,84.0,0.21904761904761905
37,83.712,85.2,1.7464788732394365
459,83.232,83.52,0.3448275862068966
360,83.2,83.52,0.3831417624521073
9,83.192,83.36,0.20153550863723607
450,82.896,83.12,0.2694898941289702
121,82.696,84.24,1.8328584995251662
562,82.416,84.24,2.1652421652421654
154,82.264,84.48,2.6231060606060606
231,82.224,82.56,0.4069767441860465
468,82.016,82.24,0.2723735408560311
76,81.832,83.04,1.4547206165703275
337,81.776,84.0,2.6476190476190475
265,81.728,83.28,1.8635926993275695
352,81.72,83.28,1.8731988472622478
195,81.568,81.76,0.23483365949119372
45,81.44,81.76,0.3913894324853229
441,81.288,81.44,0.18664047151277013
448,80.864,81.84,1.1925708699902249
517,80.824,81.6,0.9509803921568627
237,80.816,81.12,0.3747534516765286
595,80.792,81.84,1.2805474095796676
568,80.776,82.8,2.4444444444444446
538,80.624,81.84,1.4858260019550342
280,80.608,82.56,2.364341085271318
90,80.528,80.88,0.4352126607319486
546,80.48,80.72,0.29732408325074333
483,80.376,80.64,0.3273809523809524
291,80.112,80.48,0.4572564612326044
100,79.968,81.6,2.0
390,79.96,80.08,0.14985014985014986
394,79.84,80.64,0.9920634920634921
367,79.72,80.64,1.1408730158730158
561,79.12,79.2,0.10101010101010101
504,79.04,79.2,0.20202020202020202
556,77.672,79.2,1.9292929292929293
241,77.392,78.24,1.0838445807770962
213,77.04,77.36,0.4136504653567735
247,76.552,77.28,0.9420289855072463
181,76.464,78.96,3.161094224924012
82,76.456,78.72,2.8760162601626016
127,76.36,77.76,1.800411522633745
304,76.304,78.0,2.174358974358974
193,75.648,77.04,1.8068535825545171
34,75.24,76.32,1.4150943396226414
510,74.72,74.96,0.32017075773745995
277,74.696,76.32,2.1278825995807127
96,74.664,75.04,0.5010660980810234
222,74.568,74.88,0.4166666666666667
238,74.328,76.08,2.302839116719243
85,74.256,75.84,2.088607594936709
91,74.24,75.6,1.7989417989417988
217,74.184,75.36,1.5605095541401275
151,74.176,74.88,0.9401709401709402
591,74.176,74.4,0.3010752688172043
172,74.16,76.08,2.5236593059936907
42,73.992,74.16,0.22653721682847897
88,73.896,75.36,1.9426751592356688
235,73.768,75.84,2.7320675105485233
408,73.664,74.08,0.5615550755939525
99,73.424,73.68,0.3474484256243214
439,73.4,74.88,1.9764957264957266
382,73.384,74.4,1.3655913978494623
249,73.32,73.84,0.704225352112676
555,73.304,73.68,0.510314875135722
252,73.104,73.36,0.3489640130861505
57,72.944,73.44,0.6753812636165577
565,72.592,74.64,2.7438370846730975
322,72.512,74.16,2.2222222222222223
502,72.512,74.16,2.2222222222222223
123,72.408,72.72,0.429042904290429
240,72.32,72.64,0.44052863436123346
306,71.648,71.76,0.15607580824972128
78,71.632,71.84,0.289532293986637
585,71.424,71.6,0.24581005586592178
111,71.264,71.6,0.4692737430167598
316,71.2,72.24,1.4396456256921373
52,71.12,72.48,1.8763796909492274
421,71.088,72.96,2.5657894736842106
10,70.952,71.52,0.7941834451901566
307,70.672,72.0,1.8444444444444446
61,70.624,72.24,2.236987818383167
205,70.544,71.76,1.6945373467112597
411,70.48,70.96,0.6764374295377678
162,70.456,70.64,0.26047565118912797
405,70.232,70.56,0.46485260770975056
598,70.192,71.52,1.8568232662192394
4,70.088,71.52,2.0022371364653244
601,69.952,70.8,1.1977401129943503
234,69.904,70.08,0.2511415525114155
460,69.528,70.32,1.1262798634812288
403,69.504,71.28,2.491582491582492
514,69.368,71.04,2.3536036036036037
577,69.32,70.8,2.0903954802259888
267,69.288,69.68,0.5625717566016073
39,69.12,69.36,0.3460207612456747
529,69.08,70.56,2.0975056689342404
399,69.0,69.2,0.28901734104046245
274,68.248,69.84,2.279495990836197
84,68.096,68.4,0.4444444444444444
549,67.92,68.24,0.46893317702227433
208,67.648,70.32,3.799772468714448
40,67.568,68.88,1.9047619047619047
522,67.544,67.76,0.3187721369539551
262,67.528,69.6,2.9770114942528734
547,67.232,68.64,2.051282051282051
289,67.216,70.08,4.0867579908675795
330,67.104,67.2,0.14285714285714285
271,66.832,68.16,1.948356807511737
168,66.632,66.96,0.48984468339307047
528,66.6,66.8,0.2994011976047904
183,66.464,66.8,0.5029940119760479
180,66.184,66.48,0.4452466907340554
259,66.176,67.44,1.8742586002372479
478,66.168,66.96,1.1827956989247312
117,66.144,66.48,0.5054151624548736
166,65.968,67.44,2.1826809015421116
597,65.944,66.16,0.3264812575574365
559,65.888,67.44,2.301304863582444
246,65.888,66.0,0.1696969696969697
507,65.84,66.4,0.8433734939759037
588,65.752,66.0,0.37575757575757573
342,65.728,65.92,0.2912621359223301
474,65.688,66.08,0.5932203389830508
532,65.6,67.2,2.380952380952381
163,65.6,66.96,2.031063321385902
589,65.544,67.44,2.811387900355872
24,65.512,65.84,0.49817739975698666
462,65.24,65.36,0.1835985312117503
313,65.096,66.72,2.434052757793765
315,65.072,65.44,0.5623471882640587
402,64.928,65.12,0.29484029484029484
571,64.904,66.72,2.721822541966427
586,64.808,66.24,2.1618357487922704
346,64.64,66.0,2.0606060606060606
318,64.6,64.88,0.4315659679408138
366,64.288,64.56,0.42131350681536556
36,64.256,64.56,0.4708798017348203
226,63.872,65.28,2.156862745098039
432,63.8,64.0,0.3125
444,63.304,63.52,0.34005037783375314
393,63.224,63.44,0.34047919293820933
553,62.768,64.32,2.4129353233830844
165,62.68,62.88,0.31806615776081426
66,62.304,62.56,0.4092071611253197
343,61.808,62.64,1.3282247765006385
412,61.792,62.64,1.3537675606641124
301,61.64,62.88,1.9720101781170483
511,61.608,63.6,3.1320754716981134
576,61.592,61.76,0.27202072538860106
526,61.424,63.36,3.0555555555555554
391,60.88,62.16,2.0592020592020592
103,60.464,61.68,1.9714656290531778
256,60.456,60.96,0.8267716535433071
225,60.448,60.56,0.18494055482166447
396,60.4,60.72,0.5270092226613966
141,60.056,60.24,0.3054448871181939
192,60.056,60.24,0.3054448871181939
106,59.928,61.44,2.4609375
430,59.856,61.44,2.578125
429,59.752,60.08,0.5459387483355526
535,59.704,60.96,2.0603674540682415
420,59.616,59.76,0.24096385542168675
465,59.568,60.0,0.72
523,59.456,60.48,1.693121693121693
223,59.44,59.76,0.535475234270415
499,59.368,61.2,2.9934640522875817
486,58.896,59.2,0.5135135135135135
196,58.432,59.52,1.8279569892473118
31,58.432,59.52,1.8279569892473118
505,58.368,60.0,2.72
552,58.168,58.48,0.533515731874145
544,58.16,59.76,2.677376171352075
48,58.032,58.32,0.49382716049382713
243,57.744,58.08,0.5785123966942148
387,57.712,57.92,0.35911602209944754
81,57.576,57.76,0.3185595567867036
130,57.408,58.08,1.1570247933884297
321,57.368,57.68,0.5409153952843273
573,57.04,57.28,0.41899441340782123
489,56.92,57.28,0.6284916201117319
18,56.824,57.04,0.37868162692847124
592,56.696,58.32,2.784636488340192
297,56.616,56.8,0.323943661971831
537,56.472,56.8,0.5774647887323944
55,56.376,57.36,1.715481171548117
22,56.072,57.6,2.6527777777777777
445,55.92,56.88,1.6877637130801688
261,55.888,56.08,0.34236804564907275
417,55.872,55.92,0.08583690987124463
201,55.84,56.0,0.2857142857142857
264,55.736,56.08,0.6134094151212554
379,55.64,57.36,2.99860529986053
388,55.624,57.36,3.0264993026499303
567,55.416,55.6,0.33093525179856115
124,55.392,56.16,1.3675213675213675
471,55.312,55.52,0.3746397694524496
279,55.28,55.44,0.2886002886002886
424,55.2,56.16,1.7094017094017093
442,54.992,55.92,1.659513590844063
580,54.96,56.4,2.5531914893617023
21,54.824,54.96,0.24745269286754004
285,54.816,54.96,0.26200873362445415
294,54.768,55.12,0.6386066763425254
132,54.696,54.96,0.48034934497816595
270,54.528,54.72,0.3508771929824561
169,54.28,55.92,2.932761087267525
333,54.128,54.72,1.0818713450292399
594,53.696,53.92,0.41543026706231456
354,53.352,53.6,0.4626865671641791
159,53.208,53.68,0.879284649776453
558,52.72,52.88,0.30257186081694404
574,52.704,54.0,2.4
13,52.312,53.52,2.2571001494768312
219,51.184,51.6,0.8062015503875969
199,50.464,51.36,1.7445482866043613
