instance,app,pre_processing,solving_time,delay,jitter,cumulative_max_delay,cumulative_max_jitter,cumulative_max_delay_app,cumulative_max_jitter_app
1,App_1,0.06756,0.046488,84000.0,0,84000.0,0.0,84000.0,0
2,App_2,0.06756,0.16267,804000.0,0,804000.0,0.0,804000.0,0
3,App_1,0.06756,0.211893,84000.0,0,804000.0,0.0,84000.0,0
4,App_2,0.06756,0.23054,784000.0,0,804000.0,0.0,804000.0,0
5,App_2,0.06756,0.15832,624000.0,0,804000.0,0.0,804000.0,0
6,App_1,0.06756,0.283806,84000.0,0,804000.0,0.0,84000.0,0
7,App_1,0.06756,0.226614,84000.0,0,804000.0,0.0,84000.0,0
8,App_2,0.06756,0.161576,684000.0,0,804000.0,0.0,804000.0,0
9,App_2,0.06756,0.15757,684000.0,0,804000.0,0.0,804000.0,0
10,App_1,0.06756,0.216418,84000.0,0,804000.0,0.0,84000.0,0
11,App_1,0.06756,0.28806,84000.0,0,804000.0,0.0,84000.0,0
12,App_2,0.06756,0.156846,624000.0,0,804000.0,0.0,804000.0,0
13,App_2,0.06756,0.151842,644000.0,0,804000.0,0.0,804000.0,0
14,App_2,0.06756,0.159962,664000.0,0,804000.0,0.0,804000.0,0
15,App_2,0.06756,0.157827,804000.0,0,804000.0,0.0,804000.0,0
16,App_1,0.06756,0.240392,84000.0,0,804000.0,0.0,84000.0,0
17,App_2,0.06756,0.228838,704000.0,0,804000.0,0.0,804000.0,0
18,App_1,0.06756,0.312919,84000.0,0,804000.0,0.0,84000.0,0
19,App_1,0.06756,0.206062,84000.0,0,804000.0,0.0,84000.0,0
20,App_1,0.06756,0.249235,84000.0,0,804000.0,0.0,84000.0,0
21,App_1,0.06756,0.191809,84000.0,0,804000.0,0.0,84000.0,0
22,App_2,0.06756,0.159784,879000.0,0,879000.0,0.0,879000.0,0
23,App_1,0.06756,0.265925,84000.0,0,879000.0,0.0,84000.0,0
24,App_1,0.06756,0.273215,84000.0,0,879000.0,0.0,84000.0,0
25,App_1,0.06756,0.291962,104000.0,0,879000.0,0.0,104000.0,0
26,App_1,0.06756,0.212529,84000.0,0,879000.0,0.0,104000.0,0
27,App_2,0.06756,0.157029,744000.0,0,879000.0,0.0,879000.0,0
28,App_1,0.06756,0.198976,84000.0,0,879000.0,0.0,104000.0,0
29,App_2,0.06756,0.163709,664000.0,0,879000.0,0.0,879000.0,0
30,App_1,0.06756,0.22249,84000.0,0,879000.0,0.0,104000.0,0
31,App_1,0.06756,0.300546,64000.0,0,879000.0,0.0,104000.0,0
32,App_2,0.06756,0.157083,784000.0,0,879000.0,0.0,879000.0,0
33,App_2,0.06756,0.163432,724000.0,0,879000.0,0.0,879000.0,0
34,App_2,0.06756,0.1632,624000.0,0,879000.0,0.0,879000.0,0
35,App_2,0.06756,0.162094,724000.0,0,879000.0,0.0,879000.0,0
36,App_1,0.06756,0.259745,104000.0,0,879000.0,0.0,104000.0,0
37,App_1,0.06756,0.209194,84000.0,0,879000.0,0.0,104000.0,0
38,App_1,0.06756,0.245604,84000.0,0,879000.0,0.0,104000.0,0
39,App_1,0.06756,0.228981,84000.0,0,879000.0,0.0,104000.0,0
40,App_2,0.06756,0.230285,624000.0,0,879000.0,0.0,879000.0,0
41,App_1,0.06756,0.22343,84000.0,0,879000.0,0.0,104000.0,0
42,App_2,0.06756,0.225345,904000.0,0,904000.0,0.0,904000.0,0
43,App_2,0.06756,0.237603,764000.0,0,904000.0,0.0,904000.0,0
44,App_2,0.06756,0.156671,624000.0,0,904000.0,0.0,904000.0,0
45,App_2,0.06756,0.155782,744000.0,0,904000.0,0.0,904000.0,0
46,App_2,0.06756,0.210339,704000.0,0,904000.0,0.0,904000.0,0
47,App_2,0.06756,0.156881,684000.0,0,904000.0,0.0,904000.0,0
48,App_2,0.06756,0.157316,684000.0,0,904000.0,0.0,904000.0,0
49,App_2,0.06756,0.230354,624000.0,0,904000.0,0.0,904000.0,0
50,App_2,0.06756,0.1724,884000.0,0,904000.0,0.0,904000.0,0
51,App_2,0.06756,0.157287,784000.0,0,904000.0,0.0,904000.0,0
52,App_2,0.06756,0.160992,744000.0,0,904000.0,0.0,904000.0,0
53,App_1,0.06756,0.242243,84000.0,0,904000.0,0.0,104000.0,0
54,App_1,0.06756,0.249299,454000.0,10000.0,904000.0,10000.0,454000.0,10000.0
55,App_1,0.06756,0.242895,84000.0,0,904000.0,10000.0,454000.0,10000.0
56,App_1,0.06756,0.184374,104000.0,0,904000.0,10000.0,454000.0,10000.0
57,App_2,0.06756,0.164125,784000.0,0,904000.0,10000.0,904000.0,0
58,App_1,0.06756,0.225169,264000.0,5000.0,904000.0,10000.0,454000.0,10000.0
59,App_2,0.06756,0.161608,804000.0,0,904000.0,10000.0,904000.0,0
60,App_1,0.06756,0.247583,254000.0,10000.0,904000.0,10000.0,454000.0,10000.0
61,App_1,0.06756,0.212875,84000.0,0,904000.0,10000.0,454000.0,10000.0
62,App_2,0.06756,0.166745,684000.0,0,904000.0,10000.0,904000.0,0
63,App_2,0.06756,0.156076,704000.0,0,904000.0,10000.0,904000.0,0
64,App_2,0.06756,0.169249,624000.0,0,904000.0,10000.0,904000.0,0
65,App_1,0.06756,0.257971,84000.0,0,904000.0,10000.0,454000.0,10000.0
66,App_1,0.06756,0.275289,84000.0,0,904000.0,10000.0,454000.0,10000.0
67,App_1,0.06756,0.269664,84000.0,0,904000.0,10000.0,454000.0,10000.0
68,App_1,0.06756,0.199272,244000.0,0,904000.0,10000.0,454000.0,10000.0
69,App_1,0.06756,0.269484,84000.0,0,904000.0,10000.0,454000.0,10000.0
70,App_2,0.06756,0.201598,934000.0,0,934000.0,10000.0,934000.0,0
71,App_1,0.06756,0.217396,84000.0,0,934000.0,10000.0,454000.0,10000.0
72,App_1,0.06756,0.193691,84000.0,0,934000.0,10000.0,454000.0,10000.0
73,App_1,0.06756,0.216419,84000.0,0,934000.0,10000.0,454000.0,10000.0
74,App_2,0.06756,0.162171,784000.0,0,934000.0,10000.0,934000.0,0
75,App_1,0.06756,0.242839,84000.0,0,934000.0,10000.0,454000.0,10000.0
76,App_1,0.06756,0.309625,84000.0,0,934000.0,10000.0,454000.0,10000.0
77,App_1,0.06756,0.223326,84000.0,0,934000.0,10000.0,454000.0,10000.0
78,App_2,0.06756,0.160245,664000.0,0,934000.0,10000.0,934000.0,0
