instance,app,pre_processing,solving_time,delay,jitter,cumulative_max_delay,cumulative_max_jitter,cumulative_max_delay_app,cumulative_max_jitter_app
1,App_1,0.11127999999999999,0.13518,68000.0,0,68000.0,0.0,68000.0,0
2,App_1,0.11127999999999999,0.324372,80000.0,0,80000.0,0.0,80000.0,0
3,App_1,0.11127999999999999,0.339808,80000.0,0,80000.0,0.0,80000.0,0
4,App_1,0.11127999999999999,0.245165,68000.0,0,80000.0,0.0,80000.0,0
5,App_1,0.11127999999999999,0.36428,66000.0,0,80000.0,0.0,80000.0,0
6,App_1,0.11127999999999999,0.260579,68000.0,0,80000.0,0.0,80000.0,0
7,App_1,0.11127999999999999,0.326861,74000.0,0,80000.0,0.0,80000.0,0
8,App_1,0.11127999999999999,0.234306,84000.0,0,84000.0,0.0,84000.0,0
9,App_1,0.11127999999999999,0.280842,68000.0,0,84000.0,0.0,84000.0,0
10,App_1,0.11127999999999999,0.309885,72000.0,0,84000.0,0.0,84000.0,0
11,App_1,0.11127999999999999,0.250717,68000.0,0,84000.0,0.0,84000.0,0
12,App_1,0.11127999999999999,0.261054,84000.0,0,84000.0,0.0,84000.0,0
13,App_1,0.11127999999999999,0.361211,74000.0,0,84000.0,0.0,84000.0,0
14,App_1,0.11127999999999999,0.345037,78000.0,0,84000.0,0.0,84000.0,0
15,App_1,0.11127999999999999,0.391936,70000.0,0,84000.0,0.0,84000.0,0
16,App_1,0.11127999999999999,0.331836,78000.0,0,84000.0,0.0,84000.0,0
17,App_1,0.11127999999999999,0.317081,78000.0,0,84000.0,0.0,84000.0,0
18,App_1,0.11127999999999999,0.31993,68000.0,0,84000.0,0.0,84000.0,0
19,App_1,0.11127999999999999,0.344799,74000.0,0,84000.0,0.0,84000.0,0
20,App_1,0.11127999999999999,0.256502,68000.0,0,84000.0,0.0,84000.0,0
21,App_1,0.11127999999999999,0.245382,68000.0,0,84000.0,0.0,84000.0,0
22,App_1,0.11127999999999999,0.319608,82000.0,0,84000.0,0.0,84000.0,0
23,App_1,0.11127999999999999,0.353439,84500.0,0,84500.0,0.0,84500.0,0
24,App_1,0.11127999999999999,0.357417,72000.0,0,84500.0,0.0,84500.0,0
25,App_1,0.11127999999999999,0.31972,72000.0,0,84500.0,0.0,84500.0,0
26,App_1,0.11127999999999999,0.382338,80000.0,0,84500.0,0.0,84500.0,0
27,App_1,0.11127999999999999,0.310688,76000.0,0,84500.0,0.0,84500.0,0
28,App_1,0.11127999999999999,0.358176,82000.0,0,84500.0,0.0,84500.0,0
29,App_1,0.11127999999999999,0.271027,68000.0,0,84500.0,0.0,84500.0,0
30,App_1,0.11127999999999999,0.364441,82000.0,0,84500.0,0.0,84500.0,0
31,App_1,0.11127999999999999,0.380915,66000.0,0,84500.0,0.0,84500.0,0
32,App_1,0.11127999999999999,0.28789,100500.0,0,100500.0,0.0,100500.0,0
33,App_1,0.11127999999999999,0.396661,66000.0,0,100500.0,0.0,100500.0,0
34,App_1,0.11127999999999999,0.354484,82000.0,0,100500.0,0.0,100500.0,0
35,App_1,0.11127999999999999,0.330676,84000.0,0,100500.0,0.0,100500.0,0
36,App_1,0.11127999999999999,0.377947,66000.0,0,100500.0,0.0,100500.0,0
37,App_1,0.11127999999999999,0.250362,76000.0,0,100500.0,0.0,100500.0,0
38,App_1,0.11127999999999999,0.404508,66000.0,0,100500.0,0.0,100500.0,0
39,App_1,0.11127999999999999,0.348453,64000.0,0,100500.0,0.0,100500.0,0
40,App_1,0.11127999999999999,0.31636,72000.0,0,100500.0,0.0,100500.0,0
41,App_1,0.11127999999999999,0.27295,84000.0,0,100500.0,0.0,100500.0,0
42,App_1,0.11127999999999999,0.393307,66000.0,0,100500.0,0.0,100500.0,0
43,App_1,0.11127999999999999,0.398634,70000.0,0,100500.0,0.0,100500.0,0
44,App_1,0.11127999999999999,0.333481,72000.0,0,100500.0,0.0,100500.0,0
45,App_1,0.11127999999999999,0.295577,97000.0,0,100500.0,0.0,100500.0,0
46,App_1,0.11127999999999999,0.238449,68000.0,0,100500.0,0.0,100500.0,0
47,App_1,0.11127999999999999,0.270232,80000.0,0,100500.0,0.0,100500.0,0
48,App_1,0.11127999999999999,0.35582,78000.0,0,100500.0,0.0,100500.0,0
49,App_1,0.11127999999999999,0.345932,70000.0,0,100500.0,0.0,100500.0,0
50,App_1,0.11127999999999999,0.326497,91500.0,0,100500.0,0.0,100500.0,0
51,App_1,0.11127999999999999,0.264189,68000.0,0,100500.0,0.0,100500.0,0
52,App_1,0.11127999999999999,0.263367,99000.0,0,100500.0,0.0,100500.0,0
53,App_1,0.11127999999999999,0.346914,85000.0,0,100500.0,0.0,100500.0,0
54,App_1,0.11127999999999999,0.347845,66000.0,0,100500.0,0.0,100500.0,0
55,App_1,0.11127999999999999,0.31342,72000.0,0,100500.0,0.0,100500.0,0
56,App_1,0.11127999999999999,0.271683,84000.0,0,100500.0,0.0,100500.0,0
57,App_1,0.11127999999999999,0.354078,82000.0,0,100500.0,0.0,100500.0,0
58,App_1,0.11127999999999999,0.366002,82000.0,0,100500.0,0.0,100500.0,0
59,App_1,0.11127999999999999,0.450397,66000.0,0,100500.0,0.0,100500.0,0
60,App_1,0.11127999999999999,0.440344,70000.0,0,100500.0,0.0,100500.0,0
61,App_1,0.11127999999999999,0.423836,72000.0,0,100500.0,0.0,100500.0,0
62,App_1,0.11127999999999999,0.38707,70000.0,0,100500.0,0.0,100500.0,0
63,App_1,0.11127999999999999,0.378499,81500.0,0,100500.0,0.0,100500.0,0
64,App_1,0.11127999999999999,0.471725,70000.0,0,100500.0,0.0,100500.0,0
65,App_1,0.11127999999999999,0.405919,97500.0,0,100500.0,0.0,100500.0,0
66,App_1,0.11127999999999999,0.467941,120500.0,0,120500.0,0.0,120500.0,0
67,App_1,0.11127999999999999,0.316735,68000.0,0,120500.0,0.0,120500.0,0
68,App_1,0.11127999999999999,0.423585,91500.0,0,120500.0,0.0,120500.0,0
69,App_1,0.11127999999999999,0.370045,64000.0,0,120500.0,0.0,120500.0,0
70,App_1,0.11127999999999999,0.376532,97500.0,0,120500.0,0.0,120500.0,0
71,App_1,0.11127999999999999,0.436829,72000.0,0,120500.0,0.0,120500.0,0
72,App_1,0.11127999999999999,0.265806,102500.0,0,120500.0,0.0,120500.0,0
73,App_1,0.11127999999999999,0.402518,109000.0,0,120500.0,0.0,120500.0,0
74,App_1,0.11127999999999999,0.363244,76000.0,0,120500.0,0.0,120500.0,0
75,App_1,0.11127999999999999,0.48499,70000.0,0,120500.0,0.0,120500.0,0
76,App_1,0.11127999999999999,0.361927,78000.0,0,120500.0,0.0,120500.0,0
77,App_1,0.11127999999999999,0.37777,76000.0,0,120500.0,0.0,120500.0,0
78,App_1,0.11127999999999999,0.434815,66000.0,0,120500.0,0.0,120500.0,0
79,App_1,0.11127999999999999,0.262154,89000.0,0,120500.0,0.0,120500.0,0
80,App_1,0.11127999999999999,0.362522,82000.0,0,120500.0,0.0,120500.0,0
81,App_1,0.11127999999999999,0.344677,89500.0,0,120500.0,0.0,120500.0,0
82,App_1,0.11127999999999999,0.351183,66000.0,0,120500.0,0.0,120500.0,0
83,App_1,0.11127999999999999,0.364217,66000.0,0,120500.0,0.0,120500.0,0
84,App_1,0.11127999999999999,0.275754,80000.0,0,120500.0,0.0,120500.0,0
