interface,traffic_troughput,network_troughput,waste_troughput
1,5041.864,5041.864,0.0
2,5041.864,5041.864,0.0
3,5041.864,5041.864,0.0
370,42.76,43.176,0.9634982397628312
27,40.656,41.064,0.9935710111046172
123,40.024,40.464,1.0873863187030446
158,38.84,39.216,0.9587923296613627
179,37.392,37.776,1.0165184243964422
258,35.68,36.024,0.9549189429269376
141,35.672,36.048,1.0430537061695517
204,35.008,35.352,0.973070830504639
254,34.96,35.256,0.8395734059450873
89,34.76,35.064,0.8669860825918321
216,34.504,34.896,1.1233379183860615
308,34.216,34.536,0.9265693768820941
400,34.184,34.488,0.8814660171653909
51,34.12,34.512,1.1358368103847938
134,34.112,34.416,0.8833100883310089
165,34.088,34.368,0.8147113594040968
309,33.96,34.296,0.979706088173548
298,33.944,34.2,0.7485380116959064
30,33.752,34.08,0.9624413145539906
238,33.688,33.96,0.800942285041225
199,33.632,33.888,0.7554296506137866
97,33.504,33.888,1.13314447592068
126,33.32,33.576,0.7624493685966166
6,33.232,33.528,0.8828441899308042
147,33.152,33.504,1.0506208213944603
124,32.928,33.192,0.7953723788864787
180,32.928,33.24,0.9386281588447654
12,32.792,33.072,0.8466376390904693
294,32.728,33.024,0.8963178294573644
53,32.352,32.664,0.9551800146950772
340,32.264,32.568,0.9334315892901007
152,32.144,32.448,0.9368836291913215
304,32.128,32.4,0.8395061728395061
396,32.08,32.424,1.0609425117197138
144,32.032,32.256,0.6944444444444444
160,31.992,32.28,0.8921933085501859
9,31.688,31.92,0.7268170426065163
319,31.6,31.848,0.7786988193921125
132,31.568,31.848,0.8791760864104496
249,31.48,31.776,0.9315206445115811
253,31.264,31.584,1.0131712259371835
399,31.24,31.512,0.8631632394008631
167,31.16,31.416,0.8148714031066973
203,31.128,31.368,0.7651109410864575
375,31.088,31.344,0.8167432363450741
41,30.936,31.224,0.9223674096848578
246,30.92,31.176,0.8211444701052092
371,30.832,31.08,0.797940797940798
192,30.72,31.032,1.005413766434648
