instance,app,pre_processing,solving_time,delay,jitter,cumulative_max_delay,cumulative_max_jitter,cumulative_max_delay_app,cumulative_max_jitter_app
1,App_1,0.110582,0.197376,68000.0,0,68000.0,0.0,68000.0,0
2,App_1,0.110582,0.543188,76000.0,0,76000.0,0.0,76000.0,0
3,App_1,0.110582,0.607714,76000.0,0,76000.0,0.0,76000.0,0
4,App_1,0.110582,0.404014,70000.0,0,76000.0,0.0,76000.0,0
5,App_1,0.110582,0.221726,84000.0,0,84000.0,0.0,84000.0,0
6,App_1,0.110582,0.322935,64000.0,0,84000.0,0.0,84000.0,0
7,App_1,0.110582,0.386699,82000.0,0,84000.0,0.0,84000.0,0
8,App_1,0.110582,0.364547,68000.0,0,84000.0,0.0,84000.0,0
9,App_1,0.110582,0.414241,82000.0,0,84000.0,0.0,84000.0,0
10,App_1,0.110582,0.640897,72000.0,0,84000.0,0.0,84000.0,0
11,App_1,0.110582,0.406786,86000.0,0,86000.0,0.0,86000.0,0
12,App_1,0.110582,0.287087,76000.0,0,86000.0,0.0,86000.0,0
13,App_1,0.110582,0.345406,82000.0,0,86000.0,0.0,86000.0,0
14,App_1,0.110582,0.382669,72000.0,0,86000.0,0.0,86000.0,0
15,App_1,0.110582,0.45482,80000.0,0,86000.0,0.0,86000.0,0
16,App_1,0.110582,0.476963,66000.0,0,86000.0,0.0,86000.0,0
17,App_1,0.110582,0.318821,78000.0,0,86000.0,0.0,86000.0,0
18,App_1,0.110582,0.321621,84000.0,0,86000.0,0.0,86000.0,0
19,App_1,0.110582,0.411743,74000.0,0,86000.0,0.0,86000.0,0
20,App_1,0.110582,0.397852,78000.0,0,86000.0,0.0,86000.0,0
21,App_1,0.110582,0.366861,82000.0,0,86000.0,0.0,86000.0,0
22,App_1,0.110582,0.250438,84000.0,0,86000.0,0.0,86000.0,0
23,App_1,0.110582,0.338147,78000.0,0,86000.0,0.0,86000.0,0
24,App_1,0.110582,0.364049,78000.0,0,86000.0,0.0,86000.0,0
25,App_1,0.110582,0.317227,101500.0,0,101500.0,0.0,101500.0,0
26,App_1,0.110582,0.335414,76000.0,0,101500.0,0.0,101500.0,0
27,App_1,0.110582,0.367673,74000.0,0,101500.0,0.0,101500.0,0
28,App_1,0.110582,0.351831,76000.0,0,101500.0,0.0,101500.0,0
29,App_1,0.110582,0.411598,92500.0,0,101500.0,0.0,101500.0,0
30,App_1,0.110582,0.342704,76000.0,0,101500.0,0.0,101500.0,0
31,App_1,0.110582,0.370998,76000.0,0,101500.0,0.0,101500.0,0
32,App_1,0.110582,0.325534,103500.0,0,103500.0,0.0,103500.0,0
33,App_1,0.110582,0.474656,70000.0,0,103500.0,0.0,103500.0,0
34,App_1,0.110582,0.297378,99000.0,0,103500.0,0.0,103500.0,0
35,App_1,0.110582,0.416356,66000.0,0,103500.0,0.0,103500.0,0
36,App_1,0.110582,0.363153,82000.0,0,103500.0,0.0,103500.0,0
37,App_1,0.110582,0.342126,68000.0,0,103500.0,0.0,103500.0,0
38,App_1,0.110582,0.442097,70000.0,0,103500.0,0.0,103500.0,0
39,App_1,0.110582,0.435472,70000.0,0,103500.0,0.0,103500.0,0
40,App_1,0.110582,0.266602,68000.0,0,103500.0,0.0,103500.0,0
41,App_1,0.110582,0.316472,80000.0,0,103500.0,0.0,103500.0,0
42,App_1,0.110582,0.284556,104000.0,0,104000.0,0.0,104000.0,0
43,App_1,0.110582,0.498792,68000.0,0,104000.0,0.0,104000.0,0
44,App_1,0.110582,0.376039,76000.0,0,104000.0,0.0,104000.0,0
45,App_1,0.110582,0.313063,78000.0,0,104000.0,0.0,104000.0,0
46,App_1,0.110582,0.357455,76000.0,0,104000.0,0.0,104000.0,0
47,App_1,0.110582,0.53687,72000.0,0,104000.0,0.0,104000.0,0
48,App_1,0.110582,0.464975,66000.0,0,104000.0,0.0,104000.0,0
49,App_1,0.110582,0.359171,80000.0,0,104000.0,0.0,104000.0,0
50,App_1,0.110582,0.459695,80000.0,0,104000.0,0.0,104000.0,0
51,App_1,0.110582,0.35435,94000.0,0,104000.0,0.0,104000.0,0
52,App_1,0.110582,0.489728,74000.0,0,104000.0,0.0,104000.0,0
53,App_1,0.110582,0.347344,68000.0,0,104000.0,0.0,104000.0,0
54,App_1,0.110582,0.269694,103500.0,0,104000.0,0.0,104000.0,0
55,App_1,0.110582,0.357574,64000.0,0,104000.0,0.0,104000.0,0
56,App_1,0.110582,0.3217,82000.0,0,104000.0,0.0,104000.0,0
57,App_1,0.110582,0.30199,82000.0,0,104000.0,0.0,104000.0,0
58,App_1,0.110582,0.309638,76000.0,0,104000.0,0.0,104000.0,0
59,App_1,0.110582,0.278766,68000.0,0,104000.0,0.0,104000.0,0
60,App_1,0.110582,0.36047,101500.0,0,104000.0,0.0,104000.0,0
61,App_1,0.110582,0.629852,64000.0,0,104000.0,0.0,104000.0,0
62,App_1,0.110582,0.387759,72000.0,0,104000.0,0.0,104000.0,0
63,App_1,0.110582,0.290831,76000.0,0,104000.0,0.0,104000.0,0
64,App_1,0.110582,0.354581,78000.0,0,104000.0,0.0,104000.0,0
65,App_1,0.110582,0.406801,86500.0,0,104000.0,0.0,104000.0,0
66,App_1,0.110582,0.445289,70000.0,0,104000.0,0.0,104000.0,0
67,App_1,0.110582,0.340487,68000.0,0,104000.0,0.0,104000.0,0
68,App_1,0.110582,0.405982,66000.0,0,104000.0,0.0,104000.0,0
69,App_1,0.110582,0.40044,80000.0,0,104000.0,0.0,104000.0,0
70,App_1,0.110582,0.40654,89500.0,0,104000.0,0.0,104000.0,0
71,App_1,0.110582,0.288872,84000.0,0,104000.0,0.0,104000.0,0
72,App_1,0.110582,0.402224,83500.0,0,104000.0,0.0,104000.0,0
73,App_1,0.110582,0.44351,66000.0,0,104000.0,0.0,104000.0,0
74,App_1,0.110582,0.357717,98000.0,0,104000.0,0.0,104000.0,0
75,App_1,0.110582,0.331628,72000.0,0,104000.0,0.0,104000.0,0
76,App_1,0.110582,0.367406,104000.0,0,104000.0,0.0,104000.0,0
77,App_1,0.110582,0.374749,64000.0,0,104000.0,0.0,104000.0,0
78,App_1,0.110582,0.396441,72000.0,0,104000.0,0.0,104000.0,0
79,App_1,0.110582,0.431369,86500.0,0,104000.0,0.0,104000.0,0
80,App_1,0.110582,0.373009,76000.0,0,104000.0,0.0,104000.0,0
81,App_1,0.110582,0.249198,106000.0,0,106000.0,0.0,106000.0,0
82,App_1,0.110582,0.317669,89000.0,0,106000.0,0.0,106000.0,0
83,App_1,0.110582,0.484337,64000.0,0,106000.0,0.0,106000.0,0
84,App_1,0.110582,0.251284,68000.0,0,106000.0,0.0,106000.0,0
85,App_1,0.110582,0.28631,89000.0,0,106000.0,0.0,106000.0,0
86,App_1,0.110582,0.338605,96500.0,0,106000.0,0.0,106000.0,0
87,App_1,0.110582,0.489555,64000.0,0,106000.0,0.0,106000.0,0
88,App_1,0.110582,0.402656,76000.0,0,106000.0,0.0,106000.0,0
89,App_1,0.110582,0.484831,88000.0,0,106000.0,0.0,106000.0,0
90,App_1,0.110582,0.483881,74000.0,0,106000.0,0.0,106000.0,0
91,App_1,0.110582,0.359005,99500.0,0,106000.0,0.0,106000.0,0
92,App_1,0.110582,0.235872,84000.0,0,106000.0,0.0,106000.0,0
93,App_1,0.110582,0.341273,66000.0,0,106000.0,0.0,106000.0,0
94,App_1,0.110582,0.754413,81500.0,0,106000.0,0.0,106000.0,0
95,App_1,0.110582,0.348136,94000.0,0,106000.0,0.0,106000.0,0
96,App_1,0.110582,0.433079,91500.0,0,106000.0,0.0,106000.0,0
97,App_1,0.110582,0.47058,70000.0,0,106000.0,0.0,106000.0,0
98,App_1,0.110582,0.603537,72000.0,0,106000.0,0.0,106000.0,0
99,App_1,0.110582,0.38008,72000.0,0,106000.0,0.0,106000.0,0
100,App_1,0.110582,0.275479,99000.0,0,106000.0,0.0,106000.0,0
101,App_1,0.110582,0.361627,83000.0,0,106000.0,0.0,106000.0,0
102,App_1,0.110582,0.388102,97500.0,0,106000.0,0.0,106000.0,0
103,App_1,0.110582,0.23598,101500.0,0,106000.0,0.0,106000.0,0
104,App_1,0.110582,0.285191,84000.0,0,106000.0,0.0,106000.0,0
105,App_1,0.110582,0.454177,97000.0,0,106000.0,0.0,106000.0,0
106,App_1,0.110582,0.730363,117000.0,0,117000.0,0.0,117000.0,0
107,App_1,0.110582,0.535133,119000.0,0,119000.0,0.0,119000.0,0
108,App_1,0.110582,0.512316,70000.0,0,119000.0,0.0,119000.0,0
109,App_1,0.110582,0.332013,84500.0,0,119000.0,0.0,119000.0,0
110,App_1,0.110582,0.604035,68000.0,0,119000.0,0.0,119000.0,0
111,App_1,0.110582,0.471264,94000.0,0,119000.0,0.0,119000.0,0
112,App_1,0.110582,0.496336,96500.0,0,119000.0,0.0,119000.0,0
113,App_1,0.110582,0.428122,84000.0,0,119000.0,0.0,119000.0,0
114,App_1,0.110582,0.488595,96000.0,0,119000.0,0.0,119000.0,0
115,App_1,0.110582,0.421633,86500.0,0,119000.0,0.0,119000.0,0
116,App_1,0.110582,0.491828,101500.0,0,119000.0,0.0,119000.0,0
117,App_1,0.110582,0.42514,90500.0,0,119000.0,0.0,119000.0,0
