interface,traffic_troughput,network_troughput,waste_troughput
1,6724.896,6724.896,0.0
2,6724.896,6724.896,0.0
3,6724.896,6724.896,0.0
56,48.872,49.32,0.9083536090835361
174,48.752,49.152,0.8138020833333334
232,48.248,48.648,0.82223318533136
67,47.92,48.312,0.8113926146713032
272,45.24,45.672,0.9458749343142406
320,45.152,45.552,0.8781173164734809
115,45.056,45.456,0.8799718409010912
126,44.992,45.48,1.0729991204925242
179,44.944,45.312,0.8121468926553672
361,44.832,45.216,0.8492569002123143
298,44.36,44.808,0.9998214604534904
205,44.088,44.424,0.7563479200432199
321,44.048,44.568,1.1667564171602944
253,43.8,44.232,0.9766684753119913
51,43.616,44.016,0.9087604507451835
240,43.32,43.728,0.9330406147091108
261,43.256,43.632,0.8617528419508618
173,43.2,43.512,0.7170435741864313
380,42.712,43.128,0.9645705805972918
57,42.656,43.008,0.8184523809523809
20,42.656,43.08,0.9842154131847726
356,42.344,42.672,0.7686539182602175
9,42.312,42.672,0.843644544431946
178,42.184,42.552,0.8648242150780222
155,42.128,42.528,0.9405568096313017
399,42.008,42.384,0.8871272178180446
257,42.0,42.384,0.9060022650056625
239,41.992,42.384,0.9248773121932805
277,41.904,42.264,0.8517887563884157
64,41.864,42.288,1.00264850548619
227,41.736,42.12,0.9116809116809117
259,41.648,42.024,0.8947268227679421
6,41.352,41.736,0.9200690051753881
120,41.304,41.76,1.0919540229885059
381,41.24,41.736,1.1884224650182098
238,41.168,41.472,0.7330246913580247
402,41.16,41.544,0.9243212016175621
211,41.048,41.424,0.9076863653920433
4,40.8,41.112,0.7589025102159953
184,40.792,41.184,0.9518259518259519
265,40.68,40.992,0.7611241217798594
362,40.648,41.04,0.9551656920077972
342,40.624,40.968,0.8396797500488186
385,40.608,41.04,1.0526315789473684
296,40.576,40.968,0.9568443663347003
223,40.56,40.92,0.8797653958944281
45,40.448,40.848,0.9792401096748923
151,40.416,40.848,1.0575793184488838
22,40.392,40.752,0.8833922261484098
39,40.304,40.656,0.8658008658008658
359,40.152,40.488,0.8298755186721992
219,40.144,40.464,0.7908264136022143
185,40.12,40.512,0.9676145339652449
366,40.104,40.488,0.948429164196799
12,40.072,40.392,0.7922360863537334
329,39.888,40.224,0.8353221957040573
270,39.824,40.2,0.9353233830845771
263,39.8,40.2,0.9950248756218906
316,39.576,39.888,0.7821901323706378
108,39.536,39.84,0.7630522088353414
