interface,traffic_troughput,network_troughput,waste_troughput
1,13826.696,13832.608,0.04273959039394451
2,13826.696,13832.608,0.04273959039394451
3,13826.696,13832.608,0.04273959039394451
217,147.36,147.744,0.2599090318388564
258,135.824,136.176,0.2584890142168958
149,130.96,131.328,0.2802144249512671
111,127.16,127.44,0.2197112366603892
88,125.472,125.904,0.3431185665268776
100,125.096,125.568,0.37589194699286443
325,124.808,125.424,0.49113407322362546
38,123.72,124.128,0.32869296210363497
394,120.648,120.96,0.25793650793650796
10,119.56,119.952,0.32679738562091504
315,118.464,118.848,0.32310177705977383
41,116.856,117.168,0.2662843097091356
6,116.688,117.024,0.2871205906480722
147,116.664,117.072,0.34850348503485035
189,116.632,117.168,0.45746278847466887
114,116.48,116.928,0.3831417624521073
316,115.368,115.68,0.2697095435684647
390,114.352,114.576,0.19550342130987292
60,112.968,113.232,0.2331496396778296
241,112.896,113.232,0.29673590504451036
393,111.176,111.408,0.20824357317248313
163,110.992,111.408,0.3734022691368663
93,109.824,110.16,0.30501089324618735
167,108.576,108.96,0.3524229074889868
222,107.984,108.288,0.28073286052009455
183,107.816,108.144,0.3032993046308626
264,106.152,106.512,0.337990085624155
161,105.624,105.84,0.20408163265306123
179,105.24,105.504,0.2502274795268426
4,104.536,104.832,0.28235653235653235
302,104.512,104.928,0.3964623360780726
182,104.224,104.544,0.3060912151821243
285,102.944,103.344,0.38705681994116736
367,102.544,102.816,0.26455026455026454
255,102.144,102.528,0.37453183520599254
364,102.112,102.576,0.4523475276867883
396,101.792,102.144,0.34461152882205515
210,101.768,102.144,0.3681077694235589
72,101.088,101.376,0.2840909090909091
379,100.64,100.944,0.301157077191314
256,100.544,100.896,0.3488740881699968
203,100.2,100.464,0.26278069756330624
381,100.072,100.32,0.24720893141945774
339,100.016,100.32,0.30303030303030304
175,99.776,100.08,0.3037569944044764
207,99.552,99.744,0.19249278152069296
113,98.816,99.12,0.30669895076674736
244,98.224,98.64,0.42173560421735606
63,98.192,98.64,0.45417680454176806
231,97.64,98.016,0.38361083904668625
347,96.392,96.72,0.3391232423490488
352,96.312,96.576,0.27335984095427435
65,96.04,96.288,0.25756065137919576
150,95.928,96.24,0.32418952618453867
