interface,traffic_troughput,network_troughput,waste_troughput
1,25218.56,25218.56,0.0
2,25218.56,25218.56,0.0
3,25218.56,25218.56,0.0
79,232.64,232.92,0.12021294865189765
119,220.96,221.16,0.09043226623259179
200,217.76,217.992,0.10642592388711512
308,215.36,215.544,0.0853654010318079
292,215.2,215.352,0.07058211672053197
122,215.04,215.256,0.10034563496487903
218,213.68,213.816,0.06360609121861788
287,207.76,207.936,0.08464142813173284
132,207.44,207.624,0.0886217392979617
247,206.4,206.616,0.10454175862469509
219,201.6,201.792,0.09514747859181731
368,199.84,200.04,0.09998000399920016
324,198.88,199.008,0.06431902235086026
20,196.16,196.296,0.06928312344622407
211,195.36,195.576,0.1104429991409989
318,193.04,193.224,0.09522626588829546
242,191.12,191.256,0.07110888024427992
176,190.0,190.176,0.09254585226316675
94,189.84,189.96,0.06317119393556538
388,187.84,188.016,0.09360905454854906
306,187.28,187.536,0.13650712396553194
78,186.64,186.816,0.09421034600890715
277,186.08,186.24,0.0859106529209622
49,185.84,186.0,0.08602150537634409
309,185.12,185.232,0.0604647145201693
316,184.64,184.8,0.08658008658008658
327,183.92,184.128,0.1129648939867918
58,182.08,182.256,0.09656746554297252
229,181.2,181.344,0.07940709370037057
26,180.48,180.648,0.09299853859439351
101,179.2,179.4,0.11148272017837235
396,179.04,179.184,0.08036431824270024
334,178.8,178.92,0.0670690811535882
146,178.48,178.656,0.09851334408024359
181,177.44,177.576,0.07658692616119295
193,177.36,177.504,0.08112493239588967
293,177.2,177.336,0.07669057608156268
6,176.72,176.88,0.09045680687471733
227,175.84,176.016,0.09999090991728024
110,175.52,175.68,0.09107468123861566
252,174.8,174.984,0.10515247108307045
217,174.72,174.888,0.09606147934678194
304,173.68,173.856,0.10123320449107308
60,173.52,173.712,0.11052777010223819
188,172.8,172.992,0.11098779134295228
127,172.0,172.176,0.10222098318000186
246,171.12,171.288,0.0980804259492784
289,169.52,169.656,0.08016221059084265
320,167.84,168.0,0.09523809523809523
209,167.2,167.352,0.09082652134423251
7,167.2,167.352,0.09082652134423251
376,166.96,167.136,0.10530346544131725
64,166.0,166.08,0.04816955684007707
390,164.48,164.616,0.08261651358312679
361,162.56,162.696,0.08359148350297488
401,161.76,161.88,0.07412898443291327
301,160.48,160.608,0.07969715082685794
199,160.32,160.488,0.10468072379243308
186,159.76,159.888,0.08005603922745923
403,159.28,159.408,0.08029709926728897
197,159.2,159.312,0.07030229988952495
228,158.88,159.024,0.09055236945366738
391,158.8,158.976,0.1107085346215781
147,158.56,158.688,0.08066142367412785
32,158.08,158.232,0.09606147934678194
348,157.6,157.704,0.06594632983310506
355,157.6,157.728,0.08115236356258876
149,157.36,157.488,0.081276033729554
387,157.2,157.392,0.12198841110094541
362,156.96,157.08,0.07639419404125286
339,156.24,156.36,0.07674597083653108
262,155.92,156.072,0.09739094776769697
314,155.44,155.592,0.09769139801532213
323,154.0,154.128,0.08304785632720856
251,153.12,153.24,0.07830853563038372
381,152.72,152.904,0.12033694344163658
195,152.64,152.832,0.12562814070351758
22,152.24,152.352,0.07351396765385423
59,151.52,151.608,0.058044430373067384
123,151.44,151.56,0.0791765637371338
21,151.2,151.344,0.09514747859181731
47,151.04,151.248,0.13752247963609437
108,150.24,150.36,0.07980845969672785
113,149.52,149.688,0.1122334455667789
243,149.52,149.712,0.12824623276691247
160,149.44,149.568,0.08557980316645272
350,148.8,148.92,0.08058017727639001
161,148.72,148.824,0.06988120195667366
397,148.16,148.32,0.10787486515641856
151,148.08,148.248,0.11332361988020075
372,147.92,148.008,0.0594562456083455
109,147.68,147.84,0.10822510822510822
402,147.68,147.864,0.12443867337553427
140,146.8,146.952,0.10343513528226904
395,145.36,145.464,0.07149535280206787
276,145.36,145.512,0.10445873879817472
25,144.64,144.792,0.1049781755898116
75,144.64,144.792,0.1049781755898116
392,144.4,144.552,0.10515247108307045
340,144.32,144.456,0.09414631444869026
24,143.84,143.976,0.09446018780907929
34,143.36,143.472,0.078064012490242
367,143.2,143.328,0.08930564858227283
270,143.2,143.328,0.08930564858227283
145,143.2,143.352,0.10603270271778559
154,142.88,143.04,0.11185682326621924
90,142.72,142.872,0.10638893555070272
121,142.64,142.776,0.09525410433126015
50,142.56,142.68,0.08410428931875526
358,142.08,142.2,0.08438818565400844
143,141.92,141.96,0.02817695125387433
238,141.76,141.864,0.07330964867760673
311,141.44,141.576,0.09606147934678194
319,141.2,141.336,0.09622459953585781
174,140.88,140.976,0.06809669731018046
379,140.56,140.688,0.09098146252701012
249,139.84,139.92,0.05717552887364208
295,139.76,139.92,0.11435105774728416
351,139.44,139.536,0.06879944960440317
201,138.56,138.672,0.08076612437983155
253,138.4,138.528,0.0924000924000924
352,138.32,138.432,0.08090614886731391
191,138.08,138.168,0.06369057958427422
52,138.0,138.12,0.08688097306689835
205,137.92,138.024,0.07534921462933983
63,137.44,137.544,0.07561216774268598
310,137.44,137.592,0.11047153904296761
234,137.36,137.424,0.046571195715449994
102,136.88,137.016,0.09925848076137093
303,136.8,136.944,0.10515247108307045
172,136.8,136.872,0.052603892688058915
116,136.64,136.776,0.09943264900274902
389,136.48,136.584,0.07614361857904293
244,136.4,136.536,0.09960742954239175
212,136.4,136.56,0.11716461628588166
131,136.32,136.488,0.12308774397749253
180,136.08,136.224,0.10570824524312897
85,135.6,135.72,0.08841732979664015
203,135.52,135.6,0.058997050147492625
356,135.44,135.576,0.10031273971794417
258,135.12,135.264,0.10645848119233499
331,134.88,134.952,0.053352303041081274
86,134.88,135.024,0.10664770707429791
347,134.64,134.736,0.07125044531528323
158,134.16,134.28,0.08936550491510277
33,133.76,133.896,0.10157136882356456
275,133.6,133.728,0.0957166786312515
61,133.6,133.752,0.11364316047610502
207,133.6,133.68,0.059844404548174746
118,133.44,133.512,0.053927736832644256
164,133.28,133.44,0.11990407673860912
87,133.2,133.32,0.09000900090009001
326,133.12,133.272,0.11405246413350141
230,133.04,133.2,0.12012012012012012
236,132.96,133.128,0.12619433928249504
239,132.96,133.056,0.07215007215007214
9,132.88,133.056,0.13227513227513227
57,132.72,132.84,0.09033423667570009
136,132.64,132.744,0.07834629060447176
272,132.64,132.768,0.09640877319836105
345,132.48,132.576,0.07241129616220131
399,131.84,131.928,0.06670305014856588
370,131.76,131.88,0.09099181073703366
245,131.28,131.4,0.091324200913242
269,131.12,131.184,0.04878643737041102
29,130.96,131.088,0.09764433052605884
374,130.8,130.92,0.09165902841429881
373,130.56,130.656,0.07347538574577517
13,130.24,130.344,0.07978886638433683
294,130.08,130.224,0.11057869517139697
38,129.92,130.032,0.08613264427217916
383,129.76,129.864,0.08008377995441385
194,129.52,129.624,0.08023205579213726
183,129.44,129.528,0.06793897844481502
45,129.12,129.216,0.07429420505200594
169,128.64,128.76,0.09319664492078285
42,128.56,128.688,0.09946537361680965
77,128.16,128.232,0.05614823133071308
56,127.84,127.944,0.08128556243356469
375,127.76,127.848,0.0688317376885051
378,127.52,127.656,0.10653631635019113
100,127.28,127.392,0.08791760864104496
19,127.28,127.416,0.10673698750549382
281,127.04,127.152,0.08808355354221718
221,126.96,127.056,0.07555723460521345
357,126.88,127.008,0.10078105316200554
267,126.8,126.912,0.08825012607160868
325,126.8,126.96,0.1260239445494644
165,126.8,126.912,0.08825012607160868
210,126.72,126.864,0.11350737797956867
150,126.56,126.672,0.08841732979664015
135,126.48,126.576,0.07584376185058779
338,126.24,126.36,0.0949667616334283
384,126.16,126.288,0.10135563157227924
296,125.84,125.952,0.08892276422764228
297,125.84,125.928,0.06988120195667366
330,125.2,125.304,0.0829981485028411
298,124.88,125.016,0.10878607538235106
51,124.64,124.752,0.08977811978966269
91,124.16,124.296,0.10941623221986227
240,124.08,124.224,0.11591962905718702
257,124.08,124.152,0.05799342741156002
222,124.08,124.176,0.07730962504831851
62,123.92,124.08,0.1289490651192779
302,123.6,123.696,0.07760962359332557
190,123.52,123.624,0.08412605966479
4,123.36,123.48,0.09718172983479106
30,122.96,123.072,0.09100364014560583
291,122.88,123.0,0.0975609756097561
43,122.8,122.904,0.08461888953980343
313,122.48,122.664,0.15000326094045524
187,121.76,121.848,0.07222112796270763
354,121.76,121.944,0.1508889326248114
17,121.6,121.704,0.08545323078945638
82,121.36,121.488,0.10536020018438035
5,120.88,120.96,0.06613756613756613
27,120.72,120.84,0.09930486593843098
66,120.56,120.624,0.05305743467303356
54,120.48,120.552,0.059725263786581724
89,119.76,119.904,0.1200960768614892
235,119.76,119.904,0.1200960768614892
317,119.68,119.808,0.10683760683760683
259,119.6,119.712,0.09355787222667736
88,119.52,119.64,0.10030090270812438
380,119.2,119.328,0.10726736390453205
273,119.12,119.232,0.0939345142243693
359,119.12,119.208,0.07382054895644588
220,119.04,119.112,0.060447310094700786
353,118.96,119.04,0.06720430107526881
371,118.48,118.56,0.06747638326585695
192,118.4,118.512,0.09450519778587822
288,118.4,118.512,0.09450519778587822
157,118.0,118.128,0.1083570364350535
74,117.92,118.032,0.09488952148569879
237,117.76,117.816,0.04753174441502003
92,117.76,117.864,0.08823729043643522
115,117.6,117.72,0.1019367991845056
282,117.44,117.576,0.11566986459821732
103,117.28,117.384,0.088598105363593
23,117.12,117.216,0.0819000819000819
363,116.96,117.048,0.07518283097532637
377,116.88,117.0,0.10256410256410256
97,116.88,116.976,0.08206811653672548
114,116.48,116.544,0.054914881933003847
312,116.4,116.496,0.08240626287597858
342,116.24,116.376,0.11686258335051901
279,116.0,116.112,0.09645859170456111
8,115.52,115.632,0.09685900096859001
393,115.44,115.56,0.10384215991692627
185,115.2,115.296,0.08326394671107411
274,114.96,115.104,0.12510425354462051
106,114.88,115.008,0.11129660545353366
177,114.8,114.888,0.07659633730241627
138,114.48,114.552,0.06285355122564425
55,114.48,114.624,0.12562814070351758
196,114.16,114.264,0.09101729328572429
46,114.0,114.096,0.08413967185527976
72,113.76,113.856,0.08431703204047218
129,113.28,113.376,0.0846740050804403
171,113.2,113.28,0.07062146892655367
266,112.16,112.248,0.07839783336896872
134,111.68,111.792,0.10018605982539001
139,111.6,111.696,0.08594757198109153
256,111.2,111.288,0.07907411401049529
71,111.12,111.264,0.12942191544434858
93,110.72,110.784,0.057770075101097634
213,110.24,110.424,0.16663044265739332
344,110.0,110.088,0.07993605115907274
265,109.68,109.752,0.0656024491581019
15,109.68,109.776,0.08745080891998251
65,109.6,109.68,0.07293946024799416
332,109.6,109.704,0.09480055421862467
305,109.52,109.632,0.10215995329830706
366,109.36,109.488,0.11690778898144089
341,109.2,109.32,0.10976948408342481
178,109.2,109.272,0.06589062156819679
284,109.12,109.248,0.11716461628588166
216,109.12,109.224,0.09521716838790009
365,108.0,108.096,0.08880994671403197
179,107.2,107.304,0.09692089763662119
11,106.8,106.92,0.1122334455667789
223,106.64,106.752,0.10491606714628297
12,105.84,105.912,0.06798096532970768
111,105.68,105.816,0.12852498676948665
107,105.28,105.384,0.09868670765960677
40,104.64,104.736,0.09165902841429881
41,103.92,104.016,0.09229349330872173
283,103.28,103.368,0.08513272966488662
53,103.12,103.224,0.10075176315585523
364,103.04,103.152,0.10857763300760044
163,103.04,103.152,0.10857763300760044
156,102.72,102.792,0.07004436142890497
382,102.72,102.792,0.07004436142890497
69,102.4,102.48,0.078064012490242
128,102.24,102.336,0.09380863039399624
76,102.24,102.36,0.11723329425556858
204,101.92,102.0,0.0784313725490196
307,101.84,101.928,0.08633545247625775
343,101.68,101.808,0.12572685840012573
286,101.6,101.688,0.08653921800015735
260,101.52,101.592,0.07087172218284904
290,101.2,101.256,0.055305364620368176
167,101.12,101.208,0.08694964824915026
175,100.96,101.064,0.10290508984405922
44,100.88,100.968,0.08715632675699231
248,100.24,100.368,0.1275306870715766
162,100.08,100.2,0.11976047904191617
394,99.92,100.008,0.08799296056315495
31,99.44,99.552,0.11250401800064289
349,99.04,99.12,0.08071025020177562
241,98.64,98.712,0.07293946024799416
70,98.64,98.712,0.07293946024799416
84,97.92,98.04,0.12239902080783353
35,97.76,97.8,0.0408997955010225
130,97.76,97.896,0.13892293862874888
95,97.6,97.704,0.10644395316466061
126,97.52,97.584,0.06558452205279554
231,97.2,97.296,0.0986679822397632
386,96.64,96.696,0.05791346074294697
250,96.56,96.672,0.11585567692816948
328,96.16,96.288,0.13293452974410103
337,96.08,96.144,0.06656681644200366
315,95.36,95.424,0.0670690811535882
18,95.2,95.28,0.08396305625524769
10,95.2,95.304,0.1091244858557878
255,95.2,95.28,0.08396305625524769
152,95.12,95.184,0.06723819129265422
28,94.64,94.728,0.09289755932775948
271,94.32,94.344,0.02543881963876876
137,94.24,94.344,0.1102348851013313
254,94.16,94.248,0.09337068160597572
198,93.76,93.816,0.059691310650635286
233,93.44,93.504,0.06844626967830253
360,93.2,93.264,0.0686224052153028
96,92.96,93.048,0.0945748430917376
124,92.96,93.0,0.043010752688172046
141,92.88,93.0,0.12903225806451613
184,92.8,92.904,0.11194351158184793
159,92.48,92.568,0.0950652493302221
268,92.16,92.232,0.078064012490242
67,92.16,92.256,0.1040582726326743
226,91.84,91.944,0.11311232924388759
48,91.36,91.44,0.08748906386701662
336,90.8,90.888,0.09682246281137225
215,90.56,90.624,0.07062146892655367
285,89.6,89.712,0.12484394506866417
117,89.36,89.472,0.1251788268955651
398,88.4,88.464,0.07234581298607343
232,88.08,88.104,0.027240533914464723
16,87.6,87.648,0.054764512595837894
37,87.2,87.288,0.10081569058748052
321,86.88,87.0,0.13793103448275862
155,86.8,86.928,0.14724829744156084
120,86.0,86.088,0.10222098318000186
104,85.92,85.992,0.08372871895060005
329,85.84,85.896,0.06519511967961256
73,85.36,85.416,0.06556148730916925
166,85.2,85.248,0.05630630630630631
80,84.96,85.032,0.0846740050804403
144,84.72,84.84,0.14144271570014144
189,84.64,84.696,0.06611882497402474
170,84.24,84.312,0.08539709649871904
322,84.0,84.048,0.05711022272986865
202,83.44,83.52,0.09578544061302682
278,83.28,83.352,0.08638065073423554
224,83.04,83.088,0.057770075101097634
153,82.48,82.56,0.09689922480620156
68,82.24,82.344,0.12629942679490916
14,82.08,82.152,0.0876424189307625
208,81.2,81.288,0.1082570613128629
173,80.8,80.88,0.09891196834817013
299,80.72,80.832,0.13855898653998416
112,79.04,79.128,0.11121221312304115
206,78.64,78.696,0.0711599064755515
36,78.24,78.288,0.061312078479460456
39,78.16,78.216,0.07159660427534008
225,77.76,77.832,0.09250693802035152
264,76.72,76.824,0.1353743621784859
148,76.64,76.68,0.05216484089723526
125,75.36,75.456,0.1272264631043257
105,75.2,75.216,0.021272069772388852
99,74.96,75.024,0.0853060354020047
98,74.96,75.024,0.0853060354020047
81,73.92,73.992,0.09730781706130393
261,73.28,73.344,0.08726003490401396
168,73.12,73.152,0.04374453193350831
83,70.0,70.032,0.045693397304089556
142,69.92,69.96,0.05717552887364208
346,69.68,69.744,0.09176416609314063
385,68.8,68.856,0.08132915069129779
335,68.32,68.376,0.0819000819000819
280,68.24,68.304,0.09369875849144998
182,67.84,67.872,0.04714757190004715
400,63.36,63.432,0.11350737797956867
263,61.28,61.344,0.10432968179447052
300,60.64,60.672,0.052742616033755275
369,59.36,59.424,0.10770059235325795
133,50.4,50.448,0.09514747859181731
214,48.16,48.216,0.11614401858304298
333,41.68,41.712,0.07671653241273495
