instance,app,pre_processing,solving_time,delay,jitter,cumulative_max_delay,cumulative_max_jitter,cumulative_max_delay_app,cumulative_max_jitter_app
1,App1,0.170975,0.252894,147883.20000000112,1.1059455573558807e-09,147883.20000000112,1.1059455573558807e-09,147883.20000000112,1.1059455573558807e-09
2,App2,0.170975,0.198565,613656.0,0,613656.0,1.1059455573558807e-09,613656.0,0
3,App1,0.170975,0.323037,119944.80000000075,9.313225746154785e-10,613656.0,1.1059455573558807e-09,147883.20000000112,1.1059455573558807e-09
4,App1,0.170975,0.243722,4000.0,0,613656.0,1.1059455573558807e-09,147883.20000000112,1.1059455573558807e-09
5,App1,0.170975,0.302266,119953.60000000056,9.313225746154785e-10,613656.0,1.1059455573558807e-09,147883.20000000112,1.1059455573558807e-09
6,App2,0.170975,0.191337,271252.0,0,613656.0,1.1059455573558807e-09,613656.0,0
7,App1,0.170975,0.294661,139898.40000000037,0.8000000002793968,613656.0,0.8000000002793968,147883.20000000112,0.8000000002793968
8,App1,0.170975,0.37164,147960.80000000075,7.566995918750763e-10,613656.0,0.8000000002793968,147960.80000000075,0.8000000002793968
9,App2,0.170975,0.251789,613689.6000000001,0,613689.6000000001,0.8000000002793968,613689.6000000001,0
10,App1,0.170975,0.406938,171807.2000000002,1.6000000005587935,613689.6000000001,1.6000000005587935,171807.2000000002,1.6000000005587935
11,App1,0.170975,0.246622,4000.0,0,613689.6000000001,1.6000000005587935,171807.2000000002,1.6000000005587935
12,App2,0.170975,0.180526,601696.0,0,613689.6000000001,1.6000000005587935,613689.6000000001,0
13,App1,0.170975,0.350405,119960.0,0,613689.6000000001,1.6000000005587935,171807.2000000002,1.6000000005587935
14,App1,0.170975,0.30982,119963.20000000112,1.1204974725842476e-09,613689.6000000001,1.6000000005587935,171807.2000000002,1.6000000005587935
15,App1,0.170975,0.26813,4000.0,0,613689.6000000001,1.6000000005587935,171807.2000000002,1.6000000005587935
16,App1,0.170975,0.275199,4000.0,0,613689.6000000001,1.6000000005587935,171807.2000000002,1.6000000005587935
17,App1,0.170975,0.333579,124027.20000000112,1.1204974725842476e-09,613689.6000000001,1.6000000005587935,171807.2000000002,1.6000000005587935
18,App2,0.170975,0.194155,4000.0,0,613689.6000000001,1.6000000005587935,613689.6000000001,0
19,App1,0.170975,0.345142,119966.40000000037,3.7834979593753815e-10,613689.6000000001,1.6000000005587935,171807.2000000002,1.6000000005587935
20,App2,0.170975,0.165673,4000.0,0,613689.6000000001,1.6000000005587935,613689.6000000001,0
21,App2,0.170975,0.188394,442504.80000000005,0,613689.6000000001,1.6000000005587935,613689.6000000001,0
22,App1,0.170975,0.269875,119969.60000000056,9.313225746154785e-10,613689.6000000001,1.6000000005587935,171807.2000000002,1.6000000005587935
23,App1,0.170975,0.421916,187804.80000000075,1.6000000007916242,613689.6000000001,1.6000000007916242,187804.80000000075,1.6000000007916242
24,App2,0.170975,0.23386,613723.2,0,613723.2,1.6000000007916242,613723.2,0
25,App2,0.170975,0.196378,271386.4,0,613723.2,1.6000000007916242,613723.2,0
26,App2,0.170975,0.262007,793628.8,0,793628.8,1.6000000007916242,793628.8,0
27,App1,0.170975,0.298849,143928.80000000075,7.566995918750763e-10,793628.8,1.6000000007916242,187804.80000000075,1.6000000007916242
28,App2,0.170975,0.213959,434496.80000000005,0,793628.8,1.6000000007916242,793628.8,0
29,App1,0.170975,0.356665,171811.2000000002,1.6000000005587935,793628.8,1.6000000007916242,187804.80000000075,1.6000000007916242
30,App2,0.170975,0.184016,442572.0,0,793628.8,1.6000000007916242,793628.8,0
31,App2,0.170975,0.160785,291222.4,0,793628.8,1.6000000007916242,793628.8,0
32,App1,0.170975,0.371013,147972.80000000075,7.566995918750763e-10,793628.8,1.6000000007916242,187804.80000000075,1.6000000007916242
33,App1,0.170975,0.245214,124039.20000000112,1.1204974725842476e-09,793628.8,1.6000000007916242,187804.80000000075,1.6000000007916242
34,App1,0.170975,0.351091,147976.80000000075,7.566995918750763e-10,793628.8,1.6000000007916242,187804.80000000075,1.6000000007916242
35,App1,0.170975,0.223535,4000.0,0,793628.8,1.6000000007916242,187804.80000000075,1.6000000007916242
36,App1,0.170975,0.275877,4000.0,0,793628.8,1.6000000007916242,187804.80000000075,1.6000000007916242
37,App2,0.170975,0.218128,601728.8,0,793628.8,1.6000000007916242,793628.8,0
38,App1,0.170975,0.401735,147980.80000000075,7.566995918750763e-10,793628.8,1.6000000007916242,187804.80000000075,1.6000000007916242
39,App2,0.170975,0.194481,4000.0,0,793628.8,1.6000000007916242,793628.8,0
40,App2,0.170975,0.199576,601761.6000000001,0,793628.8,1.6000000007916242,793628.8,0
41,App1,0.170975,0.438962,139906.40000000037,0.8000000002793968,793628.8,1.6000000007916242,187804.80000000075,1.6000000007916242
42,App1,0.170975,0.244532,4000.0,0,793628.8,1.6000000007916242,187804.80000000075,1.6000000007916242
43,App2,0.170975,0.196417,442605.60000000003,0,793628.8,1.6000000007916242,793628.8,0
44,App2,0.170975,0.222376,24000.0,0,793628.8,1.6000000007916242,793628.8,0
45,App1,0.170975,0.27371,24000.0,0,793628.8,1.6000000007916242,187804.80000000075,1.6000000007916242
46,App1,0.170975,0.317816,124051.20000000112,1.1204974725842476e-09,793628.8,1.6000000007916242,187804.80000000075,1.6000000007916242
47,App1,0.170975,0.308466,119976.0,0,793628.8,1.6000000007916242,187804.80000000075,1.6000000007916242
48,App1,0.170975,0.380349,119979.20000000112,1.1204974725842476e-09,793628.8,1.6000000007916242,187804.80000000075,1.6000000007916242
49,App1,0.170975,0.273976,124055.20000000112,1.1204974725842476e-09,793628.8,1.6000000007916242,187804.80000000075,1.6000000007916242
50,App1,0.170975,0.281698,291928.80000000005,8000.0,793628.8,8000.0,291928.80000000005,8000.0
51,App1,0.170975,0.347656,124059.20000000112,1.1204974725842476e-09,793628.8,8000.0,291928.80000000005,8000.0
52,App1,0.170975,0.254442,124063.20000000112,1.1204974725842476e-09,793628.8,8000.0,291928.80000000005,8000.0
53,App1,0.170975,0.427475,171815.2000000002,1.6000000005587935,793628.8,8000.0,291928.80000000005,8000.0
54,App1,0.170975,0.28306,124071.20000000112,1.1204974725842476e-09,793628.8,8000.0,291928.80000000005,8000.0
55,App1,0.170975,0.361133,119982.40000000037,3.7834979593753815e-10,793628.8,8000.0,291928.80000000005,8000.0
56,App2,0.170975,0.184001,442639.2,0,793628.8,8000.0,793628.8,0
57,App1,0.170975,0.373764,139909.6,0.7999999999592546,793628.8,8000.0,291928.80000000005,8000.0
58,App1,0.170975,0.348728,143935.20000000112,1.1059455573558807e-09,793628.8,8000.0,291928.80000000005,8000.0
59,App1,0.170975,0.386485,159892.0,0.7999999999883585,793628.8,8000.0,291928.80000000005,8000.0
60,App2,0.170975,0.197121,291932.80000000005,0,793628.8,8000.0,793628.8,0
61,App2,0.170975,0.187611,450408.0,0,793628.8,8000.0,793628.8,0
62,App1,0.170975,0.45181,159840.80000000075,1.6000000007916242,793628.8,8000.0,291928.80000000005,8000.0
63,App1,0.170975,0.210598,24000.0,0,793628.8,8000.0,291928.80000000005,8000.0
64,App2,0.170975,0.19904,442672.80000000005,0,793628.8,8000.0,793628.8,0
65,App1,0.170975,0.283527,4000.0,0,793628.8,8000.0,291928.80000000005,8000.0
66,App1,0.170975,0.446811,139916.0,0.7999999999301508,793628.8,8000.0,291928.80000000005,8000.0
67,App2,0.170975,0.255022,613756.8,0,793628.8,8000.0,793628.8,0
68,App2,0.170975,0.20277,275238.4,0,793628.8,8000.0,793628.8,0
69,App2,0.170975,0.198222,4000.0,0,793628.8,8000.0,793628.8,0
70,App2,0.170975,0.207192,287221.6,0,793628.8,8000.0,793628.8,0
71,App1,0.170975,0.251026,168000.0,4000.0,793628.8,8000.0,291928.80000000005,8000.0
72,App1,0.170975,0.378505,167858.40000000037,0.8000000003667083,793628.8,8000.0,291928.80000000005,8000.0
73,App2,0.170975,0.169664,455219.2,0,793628.8,8000.0,793628.8,0
74,App1,0.170975,0.314538,291966.4,8033.599999999977,793628.8,8033.599999999977,291966.4,8033.599999999977
75,App2,0.170975,0.1842,442740.0,0,793628.8,8033.599999999977,793628.8,0
76,App2,0.170975,0.185094,275272.80000000005,0,793628.8,8033.599999999977,793628.8,0
77,App2,0.170975,0.22878,621704.0,0,793628.8,8033.599999999977,793628.8,0
78,App1,0.170975,0.412979,147988.80000000075,7.566995918750763e-10,793628.8,8033.599999999977,291966.4,8033.599999999977
79,App2,0.170975,0.226801,442773.60000000003,0,793628.8,8033.599999999977,793628.8,0
80,App1,0.170975,0.39213,139919.20000000112,0.800000001094304,793628.8,8033.599999999977,291966.4,8033.599999999977
81,App2,0.170975,0.165894,4000.0,0,793628.8,8033.599999999977,793628.8,0
82,App1,0.170975,0.260582,4000.0,0,793628.8,8033.599999999977,291966.4,8033.599999999977
83,App1,0.170975,0.304689,24000.0,0,793628.8,8033.599999999977,291966.4,8033.599999999977
84,App1,0.170975,0.355794,351789.6000000001,8000.800000000047,793628.8,8033.599999999977,351789.6000000001,8033.599999999977
85,App2,0.170975,0.194601,188000.0,0,793628.8,8033.599999999977,793628.8,0
86,App1,0.170975,0.465276,171819.2000000002,1.6000000005587935,793628.8,8033.599999999977,351789.6000000001,8033.599999999977
87,App2,0.170975,0.181887,271655.2,0,793628.8,8033.599999999977,793628.8,0
88,App1,0.170975,0.345343,119998.40000000037,3.7834979593753815e-10,793628.8,8033.599999999977,351789.6000000001,8033.599999999977
89,App2,0.170975,0.193134,450442.4,0,793628.8,8033.599999999977,793628.8,0
90,App2,0.170975,0.187774,442807.2,0,793628.8,8033.599999999977,793628.8,0
91,App1,0.170975,0.246009,24000.0,0,793628.8,8033.599999999977,351789.6000000001,8033.599999999977
92,App1,0.170975,0.287589,188000.0,8000.0,793628.8,8033.599999999977,351789.6000000001,8033.599999999977
93,App2,0.170975,0.162121,4000.0,0,793628.8,8033.599999999977,793628.8,0
94,App1,0.170975,0.286988,171823.2000000002,1.6000000005587935,793628.8,8033.599999999977,351789.6000000001,8033.599999999977
95,App1,0.170975,0.286044,139948.80000000075,7.566995918750763e-10,793628.8,8033.599999999977,351789.6000000001,8033.599999999977
96,App1,0.170975,0.373531,139922.40000000037,0.8000000002793968,793628.8,8033.599999999977,351789.6000000001,8033.599999999977
97,App2,0.170975,0.203153,777676.8,0,793628.8,8033.599999999977,793628.8,0
