instance,app,pre_processing,solving_time,delay,jitter,cumulative_max_delay,cumulative_max_jitter,cumulative_max_delay_app,cumulative_max_jitter_app
1,App1,0.165398,0.176436,140000.0,0,140000.0,0.0,140000.0,0
2,App2,0.165398,0.188197,604000.0,0,604000.0,0.0,604000.0,0
3,App1,0.165398,0.310225,116000.0,0,604000.0,0.0,140000.0,0
4,App1,0.165398,0.238501,4000.0,0,604000.0,0.0,140000.0,0
5,App1,0.165398,0.245402,116003.20000000112,1.1204974725842476e-09,604000.0,1.1204974725842476e-09,140000.0,1.1204974725842476e-09
6,App2,0.165398,0.190782,268033.6,0,604000.0,1.1204974725842476e-09,604000.0,0
7,App1,0.165398,0.288754,132000.0,0,604000.0,1.1204974725842476e-09,140000.0,1.1204974725842476e-09
8,App1,0.165398,0.319264,140077.60000000056,9.313225746154785e-10,604000.0,1.1204974725842476e-09,140077.60000000056,1.1204974725842476e-09
9,App2,0.165398,0.193549,604033.6000000001,0,604033.6000000001,1.1204974725842476e-09,604033.6000000001,0
10,App1,0.165398,0.351528,160000.0,0,604033.6000000001,1.1204974725842476e-09,160000.0,1.1204974725842476e-09
11,App1,0.165398,0.244447,4000.0,0,604033.6000000001,1.1204974725842476e-09,160000.0,1.1204974725842476e-09
12,App2,0.165398,0.179247,592000.0,0,604033.6000000001,1.1204974725842476e-09,604033.6000000001,0
13,App1,0.165398,0.234971,116009.60000000056,9.313225746154785e-10,604033.6000000001,1.1204974725842476e-09,160000.0,1.1204974725842476e-09
14,App1,0.165398,0.296278,116012.80000000075,9.313225746154785e-10,604033.6000000001,1.1204974725842476e-09,160000.0,1.1204974725842476e-09
15,App1,0.165398,0.290363,4000.0,0,604033.6000000001,1.1204974725842476e-09,160000.0,1.1204974725842476e-09
16,App1,0.165398,0.310984,4000.0,0,604033.6000000001,1.1204974725842476e-09,160000.0,1.1204974725842476e-09
17,App1,0.165398,0.344449,120085.60000000056,9.313225746154785e-10,604033.6000000001,1.1204974725842476e-09,160000.0,1.1204974725842476e-09
18,App2,0.165398,0.178347,4000.0,0,604033.6000000001,1.1204974725842476e-09,604033.6000000001,0
19,App1,0.165398,0.298663,116016.0,0,604033.6000000001,1.1204974725842476e-09,160000.0,1.1204974725842476e-09
20,App2,0.165398,0.204847,4000.0,0,604033.6000000001,1.1204974725842476e-09,604033.6000000001,0
21,App2,0.165398,0.171449,436067.2,0,604033.6000000001,1.1204974725842476e-09,604033.6000000001,0
22,App1,0.165398,0.286028,116019.20000000112,1.1204974725842476e-09,604033.6000000001,1.1204974725842476e-09,160000.0,1.1204974725842476e-09
23,App1,0.165398,0.302969,176000.0,0,604033.6000000001,1.1204974725842476e-09,176000.0,1.1204974725842476e-09
24,App2,0.165398,0.183448,604067.2,0,604067.2,1.1204974725842476e-09,604067.2,0
25,App2,0.165398,0.173691,268168.0,0,604067.2,1.1204974725842476e-09,604067.2,0
26,App2,0.165398,0.266716,784000.0,0,784000.0,1.1204974725842476e-09,784000.0,0
27,App1,0.165398,0.384382,140000.0,0,784000.0,1.1204974725842476e-09,176000.0,1.1204974725842476e-09
28,App2,0.165398,0.300678,428032.80000000005,0,784000.0,1.1204974725842476e-09,784000.0,0
29,App1,0.165398,0.320144,160004.0,0,784000.0,1.1204974725842476e-09,176000.0,1.1204974725842476e-09
30,App2,0.165398,0.16374,436134.4,0,784000.0,1.1204974725842476e-09,784000.0,0
31,App2,0.165398,0.187149,288000.0,0,784000.0,1.1204974725842476e-09,784000.0,0
32,App1,0.165398,0.257054,140089.60000000056,9.313225746154785e-10,784000.0,1.1204974725842476e-09,176000.0,1.1204974725842476e-09
33,App1,0.165398,0.243621,120097.60000000056,9.313225746154785e-10,784000.0,1.1204974725842476e-09,176000.0,1.1204974725842476e-09
34,App1,0.165398,0.261582,140093.60000000056,9.313225746154785e-10,784000.0,1.1204974725842476e-09,176000.0,1.1204974725842476e-09
35,App1,0.165398,0.215289,4000.0,0,784000.0,1.1204974725842476e-09,176000.0,1.1204974725842476e-09
36,App1,0.165398,0.242597,4000.0,0,784000.0,1.1204974725842476e-09,176000.0,1.1204974725842476e-09
37,App2,0.165398,0.17995,592032.8,0,784000.0,1.1204974725842476e-09,784000.0,0
38,App1,0.165398,0.312848,140097.60000000056,9.313225746154785e-10,784000.0,1.1204974725842476e-09,176000.0,1.1204974725842476e-09
39,App2,0.165398,0.18847,4000.0,0,784000.0,1.1204974725842476e-09,784000.0,0
40,App2,0.165398,0.173368,592065.6000000001,0,784000.0,1.1204974725842476e-09,784000.0,0
41,App1,0.165398,0.359242,132003.20000000112,1.1059455573558807e-09,784000.0,1.1204974725842476e-09,176000.0,1.1204974725842476e-09
42,App1,0.165398,0.270085,4000.0,0,784000.0,1.1204974725842476e-09,176000.0,1.1204974725842476e-09
43,App2,0.165398,0.183002,436168.0,0,784000.0,1.1204974725842476e-09,784000.0,0
44,App2,0.165398,0.181088,24000.0,0,784000.0,1.1204974725842476e-09,784000.0,0
45,App1,0.165398,0.285837,24000.0,0,784000.0,1.1204974725842476e-09,176000.0,1.1204974725842476e-09
46,App1,0.165398,0.289185,120109.60000000056,9.313225746154785e-10,784000.0,1.1204974725842476e-09,176000.0,1.1204974725842476e-09
47,App1,0.165398,0.35559,116025.60000000056,9.313225746154785e-10,784000.0,1.1204974725842476e-09,176000.0,1.1204974725842476e-09
48,App1,0.165398,0.283925,116028.80000000075,9.313225746154785e-10,784000.0,1.1204974725842476e-09,176000.0,1.1204974725842476e-09
49,App1,0.165398,0.334271,120113.60000000056,9.313225746154785e-10,784000.0,1.1204974725842476e-09,176000.0,1.1204974725842476e-09
50,App1,0.165398,0.306756,288033.6,8033.599999999977,784000.0,8033.599999999977,288033.6,8033.599999999977
51,App1,0.165398,0.317955,120117.60000000056,9.313225746154785e-10,784000.0,8033.599999999977,288033.6,8033.599999999977
52,App1,0.165398,0.303568,120121.60000000056,9.313225746154785e-10,784000.0,8033.599999999977,288033.6,8033.599999999977
53,App1,0.165398,0.367163,160008.0,0,784000.0,8033.599999999977,288033.6,8033.599999999977
54,App1,0.165398,0.24984,120129.60000000056,9.313225746154785e-10,784000.0,8033.599999999977,288033.6,8033.599999999977
55,App1,0.165398,0.284871,116032.0,0,784000.0,8033.599999999977,288033.6,8033.599999999977
56,App2,0.165398,0.178908,436201.60000000003,0,784000.0,8033.599999999977,784000.0,0
57,App1,0.165398,0.29611,132006.40000000037,3.7834979593753815e-10,784000.0,8033.599999999977,288033.6,8033.599999999977
58,App1,0.165398,0.281015,140004.0,0,784000.0,8033.599999999977,288033.6,8033.599999999977
