instance,app,pre_processing,solving_time,delay,jitter,cumulative_max_delay,cumulative_max_jitter,cumulative_max_delay_app,cumulative_max_jitter_app
1,App2,0.169187,0.050278,540000.0,0,540000.0,0.0,540000.0,0
2,App2,0.169187,0.208741,540000.0,0,540000.0,0.0,540000.0,0
3,App1,0.169187,0.457976,72000.0,0,540000.0,0.0,72000.0,0
4,App2,0.169187,0.249759,528000.0,0,540000.0,0.0,540000.0,0
5,App2,0.169187,0.249524,540000.0,0,540000.0,0.0,540000.0,0
6,App1,0.169187,0.536168,72000.0,0,540000.0,0.0,72000.0,0
7,App1,0.169187,0.497468,72000.0,0,540000.0,0.0,72000.0,0
8,App1,0.169187,0.43312,84000.0,0,540000.0,0.0,84000.0,0
9,App2,0.169187,0.187297,528000.0,0,540000.0,0.0,540000.0,0
10,App2,0.169187,0.206824,528000.0,0,540000.0,0.0,540000.0,0
11,App1,0.169187,0.427559,84000.0,0,540000.0,0.0,84000.0,0
12,App1,0.169187,0.54901,72000.0,0,540000.0,0.0,84000.0,0
13,App2,0.169187,0.211259,528000.0,0,540000.0,0.0,540000.0,0
14,App2,0.169187,0.206305,528000.0,0,540000.0,0.0,540000.0,0
15,App1,0.169187,0.487387,72000.0,0,540000.0,0.0,84000.0,0
16,App1,0.169187,0.450151,88000.0,0,540000.0,0.0,88000.0,0
17,App1,0.169187,0.474096,72000.0,0,540000.0,0.0,88000.0,0
18,App2,0.169187,0.191285,516000.0,0,540000.0,0.0,540000.0,0
19,App1,0.169187,0.443472,84000.0,0,540000.0,0.0,88000.0,0
20,App2,0.169187,0.241494,540000.0,0,540000.0,0.0,540000.0,0
21,App2,0.169187,0.283923,516000.0,0,540000.0,0.0,540000.0,0
22,App2,0.169187,0.196285,528000.0,0,540000.0,0.0,540000.0,0
23,App1,0.169187,0.429203,84000.0,0,540000.0,0.0,88000.0,0
24,App2,0.169187,0.183608,528000.0,0,540000.0,0.0,540000.0,0
25,App1,0.169187,0.361443,72000.0,0,540000.0,0.0,88000.0,0
26,App2,0.169187,0.225881,528000.0,0,540000.0,0.0,540000.0,0
27,App1,0.169187,0.38569,84000.0,0,540000.0,0.0,88000.0,0
28,App1,0.169187,0.39683,88000.0,0,540000.0,0.0,88000.0,0
29,App2,0.169187,0.179131,516000.0,0,540000.0,0.0,540000.0,0
30,App2,0.169187,0.179591,540000.0,0,540000.0,0.0,540000.0,0
31,App2,0.169187,0.189777,540000.0,0,540000.0,0.0,540000.0,0
32,App1,0.169187,0.390693,84000.0,0,540000.0,0.0,88000.0,0
33,App1,0.169187,0.412461,72000.0,0,540000.0,0.0,88000.0,0
34,App1,0.169187,0.369324,72000.0,0,540000.0,0.0,88000.0,0
35,App1,0.169187,0.510287,88000.0,0,540000.0,0.0,88000.0,0
36,App2,0.169187,0.204481,540000.0,0,540000.0,0.0,540000.0,0
37,App1,0.169187,0.4027,84000.0,0,540000.0,0.0,88000.0,0
38,App2,0.169187,0.200761,712000.0,0,712000.0,0.0,712000.0,0
39,App2,0.169187,0.212721,696000.0,0,712000.0,0.0,712000.0,0
40,App2,0.169187,0.212332,516000.0,0,712000.0,0.0,712000.0,0
41,App2,0.169187,0.270778,544000.0,0,712000.0,0.0,712000.0,0
42,App1,0.169187,0.435679,240000.0,8000.0,712000.0,8000.0,240000.0,8000.0
43,App1,0.169187,0.427701,84000.0,0,712000.0,8000.0,240000.0,8000.0
44,App1,0.169187,0.394626,84000.0,0,712000.0,8000.0,240000.0,8000.0
45,App1,0.169187,0.457146,84000.0,0,712000.0,8000.0,240000.0,8000.0
46,App2,0.169187,0.206441,540000.0,0,712000.0,8000.0,712000.0,0
47,App1,0.169187,0.467347,92000.0,0,712000.0,8000.0,240000.0,8000.0
48,App1,0.169187,0.395107,252000.0,8000.0,712000.0,8000.0,252000.0,8000.0
49,App2,0.169187,0.193256,680000.0,0,712000.0,8000.0,712000.0,0
50,App2,0.169187,0.195646,528000.0,0,712000.0,8000.0,712000.0,0
51,App2,0.169187,0.219594,528000.0,0,712000.0,8000.0,712000.0,0
52,App1,0.169187,0.435898,72000.0,0,712000.0,8000.0,252000.0,8000.0
53,App2,0.169187,0.185481,540000.0,0,712000.0,8000.0,712000.0,0
54,App2,0.169187,0.205459,712000.0,0,712000.0,8000.0,712000.0,0
55,App2,0.169187,0.204678,516000.0,0,712000.0,8000.0,712000.0,0
56,App2,0.169187,0.220215,540000.0,0,712000.0,8000.0,712000.0,0
57,App1,0.169187,0.473842,84000.0,0,712000.0,8000.0,252000.0,8000.0
58,App2,0.169187,0.24518,528000.0,0,712000.0,8000.0,712000.0,0
59,App2,0.169187,0.225062,700000.0,0,712000.0,8000.0,712000.0,0
60,App1,0.169187,0.470062,416000.0,8000.0,712000.0,8000.0,416000.0,8000.0
61,App1,0.169187,0.418577,84000.0,0,712000.0,8000.0,416000.0,8000.0
62,App2,0.169187,0.208667,696000.0,0,712000.0,8000.0,712000.0,0
63,App1,0.169187,0.453225,84000.0,0,712000.0,8000.0,416000.0,8000.0
64,App2,0.169187,0.238641,528000.0,0,712000.0,8000.0,712000.0,0
65,App2,0.169187,0.190307,528000.0,0,712000.0,8000.0,712000.0,0
