interface,traffic_troughput,network_troughput,waste_troughput
2,9918.392,9918.392,0.0
3,6443.024,6443.024,0.0
4,3011.36,3011.36,0.0
226,158.144,160.704,1.5929908403026682
242,155.248,157.632,1.5123832724319934
261,128.336,130.368,1.5586647029946
279,118.6,120.576,1.6388004246284502
401,112.432,114.624,1.9123394751535454
398,111.656,113.664,1.7666103603603605
326,110.72,112.32,1.4245014245014245
341,103.616,105.408,1.700060716454159
297,102.344,104.448,2.0143995098039214
272,101.944,103.488,1.491960420531849
293,101.096,102.72,1.5809968847352025
208,101.016,103.104,2.025139664804469
278,100.888,102.336,1.41494684177611
311,100.536,102.336,1.7589118198874296
256,100.464,101.76,1.2735849056603774
246,97.176,99.456,2.2924710424710426
268,95.888,97.92,2.0751633986928106
216,94.544,96.384,1.909030544488712
380,94.2,96.192,2.0708582834331337
212,93.728,95.04,1.3804713804713804
222,93.12,94.656,1.6227180527383367
367,91.92,93.12,1.288659793814433
387,89.232,91.008,1.9514767932489452
315,88.048,89.856,2.012108262108262
335,87.464,89.856,2.662037037037037
221,87.048,88.896,2.0788336933045355
214,86.264,88.128,2.115105301379811
223,85.56,86.592,1.1917960088691797
306,85.136,86.784,1.898967551622419
317,84.96,87.36,2.7472527472527473
277,84.952,86.016,1.2369791666666667
237,84.592,85.824,1.435495898583147
381,84.432,86.208,2.060133630289532
288,84.432,85.824,1.621923937360179
405,84.04,85.824,2.0786726323639075
314,83.736,85.824,2.4328859060402683
354,83.536,85.056,1.7870579382994733
271,83.32,84.864,1.8193815987933635
357,82.832,84.096,1.5030441400304415
290,80.664,82.56,2.296511627906977
389,80.304,82.176,2.27803738317757
393,80.12,81.792,2.0442097026604067
391,79.96,81.792,2.2398278560250393
232,79.76,81.216,1.7927501970055162
325,79.032,80.256,1.5251196172248804
281,78.896,80.448,1.9291964996022275
320,78.752,80.256,1.8740031897926634
321,78.496,80.256,2.192982456140351
240,78.488,80.256,2.202950558213716
309,77.92,79.104,1.4967637540453074
355,77.912,79.296,1.7453591606133978
258,77.88,79.104,1.5473300970873787
359,76.808,77.952,1.4675697865353037
308,76.68,77.952,1.6317733990147782
266,76.536,77.952,1.8165024630541873
362,76.376,77.376,1.292390405293631
227,76.264,77.568,1.681105610561056
330,75.816,77.184,1.7723880597014925
343,75.808,77.184,1.7827529021558872
399,75.712,76.608,1.1695906432748537
331,75.496,77.184,2.1869817578772803
254,75.24,76.608,1.7857142857142858
369,75.04,76.608,2.046783625730994
356,74.064,75.84,2.3417721518987342
366,73.6,75.264,2.2108843537414966
228,73.064,74.88,2.425213675213675
361,72.728,73.92,1.6125541125541125
250,72.552,74.304,2.3578811369509043
406,72.208,73.92,2.316017316017316
349,71.904,73.536,2.2193211488250655
234,71.576,73.152,2.1544181977252843
301,71.544,72.96,1.9407894736842106
376,71.488,72.96,2.017543859649123
378,71.392,73.152,2.405949256342957
273,71.352,73.152,2.4606299212598426
296,70.936,72.0,1.4777777777777779
403,70.776,72.768,2.737467018469657
209,70.744,72.0,1.7444444444444445
219,70.736,72.384,2.2767462422634837
253,70.632,72.0,1.9
257,70.224,71.424,1.6801075268817205
396,70.216,71.232,1.426325247079964
289,69.96,71.232,1.7857142857142858
287,69.768,71.04,1.7905405405405406
400,69.68,70.848,1.6485998193315266
263,69.136,70.656,2.151268115942029
386,68.624,69.888,1.8086080586080586
224,68.432,69.504,1.5423572744014733
300,68.296,69.504,1.7380294659300184
298,67.968,69.12,1.6666666666666667
207,67.928,68.928,1.4507892293407614
395,67.888,69.12,1.7824074074074074
347,66.8,67.584,1.160037878787879
364,66.792,67.584,1.171875
374,66.336,67.968,2.401129943502825
264,65.496,66.816,1.9755747126436782
377,65.2,66.816,2.4185823754789273
286,64.968,66.24,1.9202898550724639
294,64.416,65.664,1.9005847953216375
213,64.024,65.664,2.4975633528265107
244,63.4,64.896,2.3052268244575935
275,63.016,64.512,2.3189484126984126
336,62.568,63.744,1.8448795180722892
340,62.472,64.128,2.5823353293413174
323,61.824,62.976,1.829268292682927
241,61.824,63.168,2.127659574468085
360,61.728,62.976,1.9817073170731707
316,61.704,62.976,2.019817073170732
265,61.664,63.168,2.380952380952381
345,61.488,62.784,2.0642201834862384
402,61.32,62.592,2.0322085889570554
390,61.304,62.592,2.057770961145194
324,61.248,62.4,1.8461538461538463
210,61.024,61.824,1.2939958592132506
328,61.0,62.208,1.941872427983539
230,61.0,62.592,2.5434560327198366
333,60.888,61.632,1.2071651090342679
282,60.856,62.208,2.1733539094650207
302,60.648,61.632,1.5965732087227413
245,59.952,60.864,1.498422712933754
372,59.912,61.248,2.1812957157784743
373,59.704,61.056,2.2143605870020964
353,59.472,60.48,1.6666666666666667
350,59.152,60.288,1.884288747346072
334,59.136,60.672,2.5316455696202533
339,59.0,60.096,1.823748668796592
239,58.984,60.288,2.1629511677282376
235,58.048,58.752,1.198257080610022
248,57.888,58.752,1.4705882352941178
225,57.624,58.56,1.598360655737705
285,57.552,58.368,1.3980263157894737
385,56.944,58.752,3.077342047930283
283,56.632,57.984,2.3316777041942607
407,56.584,57.408,1.435340022296544
371,56.32,57.6,2.2222222222222223
291,56.112,57.6,2.5833333333333335
260,55.776,57.408,2.842809364548495
217,55.416,56.64,2.1610169491525424
392,55.24,56.448,2.1400226757369616
218,55.016,56.256,2.204209328782708
249,54.728,56.064,2.3829908675799087
338,54.496,55.488,1.7877739331026528
307,54.448,55.488,1.8742791234140714
243,53.976,55.104,2.0470383275261326
318,53.88,55.104,2.221254355400697
375,53.584,54.912,2.4184149184149186
211,52.984,54.144,2.142434988179669
342,52.296,53.568,2.3745519713261647
313,52.192,53.184,1.865222623345367
352,52.128,52.8,1.2727272727272727
259,51.832,52.992,2.189009661835749
322,51.568,52.8,2.3333333333333335
229,51.176,52.032,1.6451414514145142
220,51.04,52.224,2.267156862745098
358,50.8,51.84,2.006172839506173
304,50.352,51.072,1.4097744360902256
327,49.672,51.264,3.105493133583021
363,49.672,50.304,1.2563613231552162
305,49.456,51.072,3.164160401002506
262,48.744,50.496,3.46958174904943
295,48.2,49.728,3.072715572715573
303,47.464,48.384,1.9014550264550265
267,46.848,48.0,2.4
247,46.456,48.0,3.216666666666667
276,46.328,47.424,2.3110661268556005
280,46.144,47.04,1.9047619047619047
404,45.952,47.232,2.710027100271003
384,45.168,46.272,2.3858921161825726
238,44.616,45.696,2.3634453781512605
299,44.472,45.504,2.2679324894514767
332,44.448,45.12,1.4893617021276595
394,43.928,44.544,1.3829022988505748
236,43.432,44.352,2.0743145743145743
292,43.336,43.968,1.4374090247452693
270,43.288,44.352,2.398989898989899
365,43.208,43.968,1.7285298398835516
383,43.128,44.736,3.5944206008583692
310,42.832,43.392,1.2905604719764012
252,42.208,42.816,1.4200298953662183
379,38.088,39.168,2.7573529411764706
346,38.048,38.784,1.8976897689768977
319,37.784,38.592,2.093698175787728
231,37.336,38.208,2.282244556113903
397,36.568,37.632,2.8273809523809526
382,36.232,37.056,2.2236614853195165
274,35.84,36.672,2.268760907504363
269,35.808,37.44,4.358974358974359
337,35.384,36.096,1.9725177304964538
251,35.296,36.096,2.2163120567375887
368,34.216,35.904,4.7014260249554365
344,33.56,34.752,3.4300184162062615
329,32.624,33.024,1.2112403100775193
215,32.384,33.408,3.0651340996168583
351,30.608,31.488,2.7947154471544717
388,29.648,30.528,2.8825995807127884
255,29.088,30.144,3.5031847133757963
370,28.736,29.184,1.5350877192982457
312,28.656,29.376,2.450980392156863
233,28.232,28.992,2.621412803532009
348,20.072,20.352,1.3757861635220126
284,14.048,14.784,4.978354978354979
